"","SiteCity","TotalFirstYearGrosskWh","TotalFirstYearGrossTherm","TotalLifecycleGrosskWh","TotalLifecycleGrossTherm","Budget","Total.Claims","Total.Programs","X..OBF.Budget","X..Resource.Budget","city","dac_proportion","ces_score_median","ces_percentile_median","Total.Tax.Revenue","Average.Tax.Revenue","median_household_income_usd","total_population"
"2","ADELANTO",13576.84423,-30.037266,67884.22116,-150.18633,27320.06323,4,1,0,100,"ADELANTO",0.5,35.90879867,68.45125489,23628867,7876289,45695.5,35179
"4","ALBANY",153765.922,-785.0763344,842200.6074,-4288.07028,60926.19353,35,2,0,100,"ALBANY",0,8.128605852,8.740068104,57342690,19114230,102361,16742
"5","ALHAMBRA",21630.94939,-32.17246242,120233.3502,-178.879938,48465.4476,7,1,0,100,"ALHAMBRA",0.15,33.70215145,66.14327153,154981924,51660641.33,59206,84647
"8","AMERICAN CANYON",246321.569,-390.57183,2569735.067,-3193.530636,113629.6157,737,2,0,100,"AMERICAN CANYON",0,14.58399855,24.01311641,68336979,22778993,104042,13352
"9","ANAHEIM",2843.648112,-1.635315291,14302.66896,-8.226646164,4105.068431,3,1,0,100,"ANAHEIM",0.366666667,34.96311183,68.35666541,1004225482,334741827.3,66446,347532
"10","ANDERSON",153146.064,-137.8650024,1627538.672,-1050.015402,162295.5725,18,2,14.33681224,100,"ANDERSON",0,19.65311269,37.42590491,22567917,7522639,47839,23258
"13","ANTIOCH",1090279.854,-1526.2517,12105645.5,-16843.51069,755185.7001,401,2,75.68995326,100,"ANTIOCH",0.055555556,27.35417338,54.35742212,156004836,52001612,76397,112354
"14","APPLE VALLEY",212224.59,-220.077,2514589.718,-2640.924,206693.35,20,1,100,100,"APPLE VALLEY",0,19.92653162,38.11325514,81839215,27279738.33,52921,80949
"17","ARCADIA",72342.81,0,868113.72,0,40843.1973,2,1,0,100,"ARCADIA",0,17.10420385,30.69113381,152549526,50849842,92807,69373
"18","ARCATA",582409.9204,-1503.710973,5108532.13,-13099.61364,587876.0012,451,2,2.829558836,100,"ARCATA",0,24.23644209,48.22802371,34193557,11397852.33,39178,14499
"22","ARROYO GRANDE",282692.1175,-1218.986047,3238651.525,-15423.24537,141893.2079,94,2,0,100,"ARROYO GRANDE",0,6.814271451,6.179846134,43882463,14627487.67,89204.5,25014
"23","ARVIN",235985.1414,-1118.21893,2525115.524,-12564.76151,99105.11402,69,1,29.56813825,100,"ARVIN",0.5,40.31055291,76.37785345,15759971,5253323.667,37428,22818
"24","ATASCADERO",487560.5488,-2199.857894,5412426.592,-26667.46822,254199.3287,328,2,2.286541693,100,"ATASCADERO",0,8.137025663,9.250851305,60949355,20316451.67,73061,25335
"26","ATWATER",388888.9852,-143.429041,4587367.544,-1095.301805,519211.6338,1443,3,85.56285841,100,"ATWATER",0.5,40.48984172,76.57333838,35304215,11768071.67,55891,40011
"27","AUBURN",215833.1616,-1196.42842,2183727.162,-12870.44229,222860.3327,152,3,9.113390282,100,"AUBURN",0,13.28418307,20.82860386,34441547,11480515.67,76104.5,44187
