County,Population,Mean Income,IRR,TotalRevenue,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget
ALAMEDA,1656754,76626,0.270123418,9617053146,0.105555556,21.5329058,42.0986253,99406,13132657.58,-55166.94365,137563849.4,-572536.129,8383463.777,24202,7,21.651553,100
ALPINE,1039,78945,0.656044503,60490797,0,11.34335677,15.85319712,63750,0,0,0,0,0,0,0,0,0
AMADOR,38429,51453,0.502563215,243032260,0,23.25754909,45.75608526,62772,630359.8329,-4445.044561,6969586.501,-47535.94127,548418.4297,129,2,0,100
BUTTE,225817,62405,0.434554907,1290504922,0.039215686,20.03326123,38.36549376,52537,1786076.096,-2434.795903,20324135.27,-26140.75881,1665997.939,5011,5,16.66113214,100
CALAVERAS,45514,70651,0.509595041,677652486,0,15.18085248,25.55177198,63158,57305.67863,-407.88066,617826.3065,-4790.258736,43309.63034,18,2,3.253733657,100
COLUSA,21454,51788,0.543578676,183757138,0,27.46890061,54.74839198,59401,195729.8449,-478.134807,1949328.093,-5486.333745,115067.8422,11,2,18.89002453,100
CONTRA COSTA,1142251,54605,0.274897329,9994087813,0.120772947,17.21319803,30.86139488,99716,9487053.041,-32214.4939,92437495.82,-351174.8131,5802187.98,13946,3,31.13050598,100
DEL NORTE,27495,62144,0.530593072,225894688,0,16.84485079,29.97855972,45283,0,0,0,0,0,0,0,0,0
EL DORADO,188563,58390,0.452632459,1101313736,0,10.54622312,14.39021314,83377,431429.2956,-1637.964686,4892398.341,-17995.9604,314253.9536,100,2,2.215046264,100
FRESNO,984521,63368,0.407642153,5391143000,0.59798995,44.35557894,82.10367007,53969,9599599.949,-12955.08914,99700299.11,-143668.4981,4611106.029,13840,5,9.256733846,100
GLENN,27976,63764,0.534306275,251081405,0,23.67125796,46.77765166,49633,138160.9516,-127.1709,1605441.415,-1224.0612,75556.00668,14,2,17.48555217,100
HUMBOLDT,135940,62536,0.508712228,1063422798,0,15.2839121,25.79770463,48041,3354852.505,-25700.91734,29424490.55,-169712.3132,3047453.174,4020,3,3.756707289,100
IMPERIAL,180701,65273,0.483676103,1305614242,0.483870968,39.58382186,75.38781687,47622,0,0,0,0,0,0,0,0,0
INYO,17977,55353,0.614476007,240392588,0,18.79896764,35.24404086,57316,4205.905568,-30.41351598,58325.54957,-421.7606899,59918.96966,6,1,68.7418027,100
KERN,887641,65073,0.421116981,5607641820,0.450331126,36.35772393,70.53852945,53350,17486642.54,-59555.63902,178144350.6,-612942.0194,7076841.403,19365,2,7.119472995,100
KINGS,150691,67561,0.459568005,838808094,0.407407407,38.95330355,74.34733258,57848,253762.1587,-400.2114393,2408085.589,-2454.405255,354477.2204,796,3,0,100
LAKE,64195,64357,0.501903671,478399008,0,17.5990331,31.99646866,47040,1137668.104,-5975.679882,12566698.71,-63929.87742,857818.31,173,2,3.924885787,100
LASSEN,30818,46389,0.562445155,206480533,0,15.8205256,27.35527809,56352,0,0,0,0,0,0,0,0,0
LOS ANGELES,10081570,59106,0.226484593,76411682804,0.443021767,36.39758777,70.620507,68044,16044995.5,8776.41981,168645100.4,41601.0056,22624454.96,2588,50,25.86058332,60.8743862
MADERA,155433,61593,0.469575207,817688440,0.47826087,39.17836861,74.7256905,57585,1657236.628,-3100.062124,17320287.37,-33361.24679,723949.3399,948,3,13.22740122,100
MARIN,259943,63988,0.376551385,1915528217,0,6.800021201,6.223987893,115246,2927162.412,-17129.49643,28495106.48,-152173.5842,2097869.568,5654,4,18.64402506,100
MARIPOSA,17420,64617,0.556874694,232171960,0,15.1202458,25.37520494,48820,28760.66092,-161.4696778,239814.904,-1355.288699,28083.40266,12,2,16.54311799,100
MENDOCINO,87224,60544,0.515868582,758752047,0,16.9170484,30.14882078,51416,561672.436,-3450.333084,5720930.579,-35266.39072,434482.0431,89,2,3.960576168,100
MERCED,271382,49839,0.43870777,1666466015,0.755102041,44.4721416,82.21717745,53672,2551083.084,-3701.118249,29704067.09,-46259.92336,2866496.977,7254,3,59.93892031,100
MODOC,8907,57068,0.60969562,96893007,0,16.52539825,29.25337369,45507,0,0,0,0,0,0,0,0,0
