Entity Name,2016-2017,2017-2018,Entity Name,2018-2019,,total tax revenue 2016-2019
Adelanto,6407577,8379208,Adelanto,8842082,,23628867
Agoura Hills,19346497,20776976,Agoura Hills,18491359,,58614832
Alameda,82392105,104149055,Alameda,95816394,,282357554
Albany,18946529,19815521,Albany,18580640,,57342690
Alhambra,48888081,54145658,Alhambra,51948185,,154981924
Aliso Viejo,16869086,19013189,Aliso Viejo,18681521,,54563796
Alturas,1534805,1472951,Alturas,1409116,,4416872
Amador,82711,102684,Amador,83985,,269380
American Canyon,16937372,30838963,American Canyon,20560644,,68336979
Anaheim,325443357,348255926,Anaheim,330526199,,1004225482
Anderson,6949930,7908419,Anderson,7709568,,22567917
Angels,2809048,3151255,Angels,2870915,,8831218
Antioch,46733208,56914435,Antioch,52357193,,156004836
Apple Valley,26315541,26767977,Apple Valley,28755697,,81839215
Arcadia,49170035,52953359,Arcadia,50426132,,152549526
Arcata,10919206,11935315,Arcata,11339036,,34193557
Arroyo Grande,14552411,14383619,Arroyo Grande,14946433,,43882463
Artesia,8206270,8573738,Artesia,7394113,,24174121
Arvin,4990479,5525217,Arvin,5244275,,15759971
Atascadero,19101715,20851518,Atascadero,20996122,,60949355
Atherton,14333116,16512613,Atherton,15276181,,46121910
Atwater,10925131,12229862,Atwater,12149222,,35304215
Auburn,10781872,12617851,Auburn,11041824,,34441547
Avalon,9938943,12649099,Avalon,9477892,,32065934
Avenal,3310752,3618672,Avenal,3336041,,10265465
Azusa,30384048,33818155,Azusa,31758282,,95960485
Bakersfield,167312217,202998974,Bakersfield,177062601,,547373792
Baldwin Park,26736389,31308266,Baldwin Park,29842593,,87887248
Banning,10362297,11841315,Banning,10978780,,33182392
Barstow,17369119,25584577,Barstow,25043006,,67996702
Beaumont,15720734,19131849,Beaumont,17306312,,52158895
Bell,16560969,16663994,Bell,18542778,,51767741
Bell Gardens,24829027,28072190,Bell Gardens,25791442,,78692659
Bellflower,28146832,30592810,Bellflower,29220082,,87959724
Belmont,17869497,34338437,Belmont,31757606,,83965540
Belvedere,5620632,6295299,Belvedere,6658760,,18574691
Benicia,35930024,40290362,Benicia,40600963,,116821349
Berkeley,184922053,194538633,Berkeley,200290932,,579751618
Beverly Hills,194096411,218115167,Beverly Hills,211905933,,624117511
Big Bear Lake,13024399,21093573,Big Bear Lake,18780564,,52898536
Biggs,477957,535849,Biggs,475245,,1489051
Bishop,6134252,6723638,Bishop,6301812,,19159702
Blue Lake,541713,497205,Blue Lake,453504,,1492422
Blythe,6282289,6254624,Blythe,6450479,,18987392
Bradbury,950240,904760,Bradbury,1032360,,2887360
Brawley,10341531,11185716,Brawley,10859128,,32386375
Brea,43955647,50434867,Brea,44566862,,138957376
Brentwood,40232319,44713555,Brentwood,45750480,,130696354
Brisbane,14613302,19219601,Brisbane,14929038,,48761941
Buellton,6784801,8475840,Buellton,7711654,,22972295
Buena Park,53030630,60583750,Buena Park,54755059,,168369439
Burbank,124611488,136843569,Burbank,131019749,,392474806
Burlingame,65917535,73639921,Burlingame,65093241,,204650697
Calabasas,23519568,24290541,Calabasas,27475186,,75285295
Calexico,13922224,16492528,Calexico,14477657,,44892409
California City,9507883,11017282,California City,9941217,,30466382
Calimesa,4154895,5064576,Calimesa,4623157,,13842628
Calipatria,851109,1070230,Calipatria,927584,,2848923
Calistoga,10421116,11545128,Calistoga,14473908,,36440152
Camarillo,37491583,41720831,Camarillo,39454801,,118667215
Campbell,37855239,42363924,Campbell,40552761,,120771924
Canyon Lake,4392397,5052819,Canyon Lake,4728093,,14173309
Capitola,12529934,15594108,Capitola,13509654,,41633696
Carlsbad,132080967,152410210,Carlsbad,138502647,,422993824
Carmel-By-The-Sea,19130201,20829241,Carmel-By-The-Sea,19623999,,59583441
Carpinteria,9448635,10917083,Carpinteria,10231891,,30597609
Carson,63991006,78021632,Carson,66772081,,208784719
Cathedral City,31134801,51648035,Cathedral City,45733061,,128515897
Ceres,15552448,19915379,Ceres,18246152,,53713979
Cerritos,52271882,53699084,Cerritos,52057738,,158028704
Chico,48188508,60456150,Chico,53695460,,162340118
Chino,52370361,63593296,Chino,57199194,,173162851
Chino Hills,27585557,28934723,Chino Hills,30044563,,86564843
Chowchilla,6512626,6608278,Chowchilla,5934161,,19055065
Chula Vista,130149849,162899046,Chula Vista,141339936,,434388831
Citrus Heights,35182262,31359779,Citrus Heights,36073151,,102615192
Claremont,22494565,25285133,Claremont,24189881,,71969579
Clayton,4804978,5032296,Clayton,5057593,,14894867
Clearlake,5619956,7017319,Clearlake,7846720,,20483995
Cloverdale,5555664,6315863,Cloverdale,6308246,,18179773
Clovis,52756559,62152987,Clovis,57888721,,172798267
Coachella,17659275,19920776,Coachella,17512893,,55092944
Coalinga,4546088,4372966,Coalinga,4227805,,13146859
Colfax,1816463,2198347,Colfax,2110033,,6124843
Colma,16253095,17419225,Colma,16531915,,50204235
Colton,22476647,27668304,Colton,24360431,,74505382
Colusa,3062159,3596526,Colusa,3196953,,9855638
Commerce,62634016,73867877,Commerce,68207739,,204709632
Compton,41460630,76502736,Compton,73854851,,191818217
Concord,89362033,105769889,Concord,94852078,,289984000
Corcoran,4118180,6007838,Corcoran,4775043,,14901061
Corning,5051121,6549952,Corning,5875968,,17477041
Corona,98520413,109101408,Corona,96252439,,303874260
Coronado,47053783,52117931,Coronado,49799920,,148971634
Corte Madera,19431000,23584048,Corte Madera,19229880,,62244928
Costa Mesa,114238502,128761666,Costa Mesa,112838244,,355838412
Cotati,6329469,7857470,Cotati,6473254,,20660193
Covina,30416048,36449120,Covina,32226807,,99091975
Crescent City,3765167,4043465,Crescent City,3953470,,11762102
Cudahy,7299834,7853178,Cudahy,7740862,,22893874
Culver City,84292234,95366840,Culver City,91895403,,271554477
Cupertino,62924867,69533770,Cupertino,63988969,,196447606
Cypress,26795085,36030183,Cypress,34086309,,96911577
Daly City,62248596,74518434,Daly City,63981541,,200748571
Dana Point,33460846,36759936,Dana Point,35271763,,105492545
Danville,23028191,25268211,Danville,24268923,,72565325
Davis,49974973,56269654,Davis,52617031,,158861658
Del Mar,12489871,15395012,Del Mar,15021223,,42906106
Del Rey Oaks,2451848,3473750,Del Rey Oaks,2982952,,8908550
Delano,20075351,23667186,Delano,23582729,,67325266
Desert Hot Springs,11080534,16364018,Desert Hot Springs,13092287,,40536839
Diamond Bar,20322730,23546671,Diamond Bar,21943614,,65813015
Dinuba,18015819,17500962,Dinuba,15204257,,50721038
Dixon,17092491,21201443,Dixon,17432917,,55726851
Dorris,228361,217553,Dorris,227755,,673669
Dos Palos,1310516,1577804,Dos Palos,1648437,,4536757
Downey,60282940,84345016,Downey,76207980,,220835936
Duarte,11250076,12511227,Duarte,11647201,,35408504
Dublin,89917716,98379619,Dublin,95420691,,283718026
Dunsmuir,927563,1018569,Dunsmuir,977733,,2923865
East Palo Alto,23391271,29216213,East Palo Alto,27842021,,80449505
Eastvale,19008981,26786941,Eastvale,25260349,,71056271
El Cajon,62110222,68145967,El Cajon,65513857,,195770046
El Centro,22815432,33651858,El Centro,31482328,,87949618
El Cerrito,20609659,27255464,El Cerrito,20665101,,68530224
El Monte,68737249,76999412,El Monte,73393625,,219130286
El Paso De Robles,36112754,40024186,El Paso De Robles,38389904,,114526844
El Segundo,61690325,67932407,El Segundo,65155349,,194778081
Elk Grove,65505597,72576109,Elk Grove,68969125,,207050831
Emeryville,41130640,47275831,Emeryville,46504421,,134910892
Encinitas,60545460,68018099,Encinitas,64453977,,193017536
Escalon,3172079,3941791,Escalon,3166106,,10279976
Escondido,78150933,82912137,Escondido,82328217,,243391287
Etna,288536,290482,Etna,280813,,859831
Eureka,26018636,26251629,Eureka,26218187,,78488452
Exeter,3778531,4561902,Exeter,4344483,,12684916
Fairfax,8862831,9510276,Fairfax,9516555,,27889662
Fairfield,97558098,104521152,Fairfield,102143181,,304222431
Farmersville,4916070,3601696,Farmersville,5689894,,14207660
Ferndale,757136,758917,Ferndale,778425,,2294478
Fillmore,6125987,6175434,Fillmore,6296286,,18597707
Firebaugh,3140548,3587049,Firebaugh,3533461,,10261058
Folsom,66471554,81244989,Folsom,76136635,,223853178
Fontana,74511600,129382610,Fontana,108743388,,312637598
Fort Bragg,6154585,7112406,Fort Bragg,7122629,,20389620
Fort Jones,287981,316233,Fort Jones,286492,,890706
Fortuna,4957470,6318662,Fortuna,6295584,,17571716
Foster City,14410408,49452291,Foster City,15073587,,78936286
Fountain Valley,37624182,52008609,Fountain Valley,48088953,,137721744
Fowler,4212731,4169524,Fowler,5097557,,13479812
Fremont,224542423,249598398,Fremont,231548339,,705689160
Fresno,284553215,292642541,Fresno,272431676,,849627432
Fullerton,74480925,81104582,Fullerton,74623124,,230208631
Galt,12593724,12981942,Galt,12389052,,37964718
Garden Grove,97455867,113583734,Garden Grove,102517554,,313557155
Gardena,46067303,49835716,Gardena,46768214,,142671233
Gilroy,41720225,46833902,Gilroy,44140042,,132694169
Glendale,157057226,180715817,Glendale,176910053,,514683096
Glendora,27952442,29327816,Glendora,27896002,,85176260
Goleta,23983561,29044336,Goleta,26694247,,79722144
Gonzales,3846103,4763183,Gonzales,5105216,,13714502
Grand Terrace,4074436,5071469,Grand Terrace,4332487,,13478392
Grass Valley,13062910,16471908,Grass Valley,13672560,,43207378
Greenfield,5674500,8592038,Greenfield,6859257,,21125795
Gridley,2485696,2931269,Gridley,2501800,,7918765
Grover Beach,7841531,10701873,Grover Beach,8217549,,26760953
Guadalupe,2307573,2751176,Guadalupe,2501006,,7559755
Gustine,1960712,2341654,Gustine,2278625,,6580991
Half Moon Bay,13781583,17552590,Half Moon Bay,15014689,,46348862
Hanford,27343390,27496525,Hanford,28576329,,83416244
Hawaiian Gardens,3916368,18023611,Hawaiian Gardens,4338350,,26278329
Hawthorne,58965139,74980425,Hawthorne,63063818,,197009382
Hayward,150474631,163714602,Hayward,153035303,,467224536
Healdsburg,14589506,17307292,Healdsburg,15734037,,47630835
Hemet,34136030,47211054,Hemet,44587789,,125934873
Hercules,10309049,13085539,Hercules,12224679,,35619267
Hermosa Beach,26976962,29835529,Hermosa Beach,28862884,,85675375
Hesperia,29040392,29434465,Hesperia,35984078,,94458935
Hidden Hills,1565272,2274080,Hidden Hills,3468109,,7307461
Highland,20815455,20607788,Highland,22092410,,63515653
Hillsborough,22252161,25062258,Hillsborough,23596866,,70911285
Hollister,19591726,27763684,Hollister,22332993,,69688403
Holtville,1640440,1841983,Holtville,1923225,,5405648
Hughson,2042853,2626628,Hughson,2419648,,7089129
Huntington Beach,163049084,177448493,Huntington Beach,144484650,,484982227
Huntington Park,27315132,34308379,Huntington Park,27766022,,89389533
Huron,1597519,1765310,Huron,1916477,,5279306
Imperial,6362386,7015827,Imperial,7085032,,20463245
Imperial Beach,11595941,13080139,Imperial Beach,11206204,,35882284
Indian Wells,19377663,21924649,Indian Wells,20135476,,61437788
Indio,49632397,64106979,Indio,60326978,,174066354
Industry,101274293,116020635,Industry,107482198,,324777126
Inglewood,110411315,116776435,Inglewood,121823560,,349011310
Ione,2071634,2496466,Ione,2410694,,6978794
Irvine,213700195,204138639,Irvine,212719735,,630558569
Irwindale,18734004,20451445,Irwindale,20620986,,59806435
Isleton,663457,760249,Isleton,1008894,,2432600
Jackson,2855213,3191937,Jackson,2842325,,8889475
Jurupa Valley,24781115,33362767,Jurupa Valley,30675375,,88819257
Kerman,4816312,5935461,Kerman,5013119,,15764892
King City,5644623,7639041,King City,6586256,,19869920
Kingsburg,5783417,6742118,Kingsburg,5127556,,17653091
La Canada Flintridge,12962328,13897565,La Canada Flintridge,13195841,,40055734
La Habra,35373359,38807785,La Habra,36128592,,110309736
La Habra Heights,2569494,2916010,La Habra Heights,2625737,,8111241
La Mesa,40726776,45163144,La Mesa,42124054,,128013974
La Mirada,34480935,32273936,La Mirada,34421629,,101176500
La Palma,9287708,10498293,La Palma,10566409,,30352410
La Puente,12199888,14273735,La Puente,12790104,,39263727
La Quinta,34543093,50358283,La Quinta,46539689,,131441065
La Verne,20335778,24766454,La Verne,21901628,,67003860
Lafayette,14919626,16239761,Lafayette,15463883,,46623270
Laguna Beach,56098829,61637999,Laguna Beach,58884445,,176621273
Laguna Hills,19272140,20265675,Laguna Hills,19562797,,59100612
Laguna Niguel,36774657,38806129,Laguna Niguel,37462300,,113043086
Laguna Woods,4819851,5329907,Laguna Woods,5621183,,15770941
Lake Elsinore,25619723,27955076,Lake Elsinore,26495483,,80070282
Lake Forest,74017476,48487216,Lake Forest,55197369,,177702061
Lakeport,3993240,5233001,Lakeport,4837728,,14063969
Lakewood,36561384,37814539,Lakewood,36541737,,110917660
Lancaster,65701462,87956770,Lancaster,75939103,,229597335
Larkspur,17273812,20139152,Larkspur,17954082,,55367046
Lathrop,22379365,35106293,Lathrop,22273207,,79758865
Lawndale,13122943,14723854,Lawndale,13350453,,41197250
Lemon Grove,12876287,14674642,Lemon Grove,12105922,,39656851
Lemoore,7158866,8374705,Lemoore,7446400,,22979971
Lincoln,17102411,18558154,Lincoln,18557137,,54217702
Lindsay,4946728,6414873,Lindsay,5425560,,16787161
Live Oak,2415301,3156767,Live Oak,2479534,,8051602
Livermore,85990749,99785007,Livermore,92409589,,278185345
Livingston,4927777,5033602,Livingston,5681613,,15642992
Lodi,39730727,44575559,Lodi,41013030,,125319316
Loma Linda,12056658,16920662,Loma Linda,13410471,,42387791
Lomita,5261708,9908962,Lomita,7230108,,22400778
Lompoc,17214362,19134437,Lompoc,18290992,,54639791
Long Beach,423023000,483509040,Long Beach,464544000,,1371076040
Loomis,3744548,4765666,Loomis,4750643,,13260857
Los Alamitos,10276131,10921495,Los Alamitos,10526370,,31723996
Los Altos,31789460,36664749,Los Altos,34775197,,103229406
Los Altos Hills,6429570,7305331,Los Altos Hills,6922444,,20657345
Los Angeles,4559125444,5152048284,Los Angeles,4834137829,,14545311557
Los Banos,17564984,20876906,Los Banos,19454867,,57896757
Los Gatos,29960237,32207414,Los Gatos,30360001,,92527652
Loyalton,163165,212315,Loyalton,158102,,533582
Lynwood,27271103,38245855,Lynwood,32933038,,98449996
Madera,22821456,30197963,Madera,27046313,,80065732
Malibu,24161701,27343986,Malibu,26124000,,77629687
Mammoth Lakes,34328363,36804023,Mammoth Lakes,32925267,,104057653
Manhattan Beach,48084176,55023306,Manhattan Beach,51536668,,154644150
Manteca,40753408,53939071,Manteca,48716752,,143409231
Maricopa,263236,302076,Maricopa,307963,,873275
