county,median_household_income_usd
Alameda,99406
Alpine,63750
Amador,62772
Butte,52537
Calaveras,63158
Colusa,59401
Contra Costa,99716
Del Norte,45283
El Dorado,83377
Fresno,53969
Glenn,49633
Humboldt,48041
Imperial,47622
Inyo,57316
Kern,53350
Kings,57848
Lake,47040
Lassen,56352
Los Angeles,68044
Madera,57585
Marin,115246
Mariposa,48820
Mendocino,51416
Merced,53672
Modoc,45507
Mono,62260
Monterey,71015
Napa,88596
Nevada,66096
Orange,90234
Placer,89691
Plumas,55359
Riverside,67005
Sacramento,67151
San Benito,86958
San Bernardino,63362
San Diego,78980
San Francisco,112449
San Joaquin,64432
San Luis Obispo,73518
San Mateo,122641
Santa Barbara,74624
Santa Clara,124055
Santa Cruz,82234
Shasta,54667
Sierra,52148
Siskiyou,45241
Solano,81472
Sonoma,81018
Stanislaus,60704
Sutter,59050
Tehama,44514
Trinity,40846
Tulare,49687
Tuolumne,60108
Ventura,88131
Yolo,70228
Yuba,58054
