census_tract,zip_code,city,county
6019001100,93706,Fresno,Fresno 
6071001600,91761,Ontario,San Bernardino
6019000200,93706,Fresno,Fresno 
6077000801,95203,Stockton,San Joaquin
6019001500,93725,Fresno,Fresno 
6037204920,90023,Los Angeles,Los Angeles
6077000300,95203,Stockton,San Joaquin
6019001000,93706,Fresno,Fresno 
6037206050,90023,Los Angeles,Los Angeles
6019000400,93721,Fresno,Fresno 
6099002100,95354,Modesto,Stanislaus 
6029002500,93307,Bakersfield,Kern 
6019000600,93721,Fresno,Fresno 
6019001201,93725,Fresno,Fresno 
6037205120,90023,Los Angeles,Los Angeles
6019000902,93706,Fresno,Fresno 
6037291220,90247,Gardena,Los Angeles
6019001202,93725,Fresno,Fresno 
6019000800,93706,Fresno,Fresno 
6019000300,93706,Fresno,Fresno 
6037239202,90001,Los Angeles,Los Angeles
6037226002,90021,Los Angeles,Los Angeles
6077000700,95206,Stockton,San Joaquin
6019000901,93706,Fresno,Fresno 
6077000100,95202,Stockton,San Joaquin
6099002302,95351,Modesto,Stanislaus 
6071004900,92410,San Bernardino,San Bernardino
6037535400,90002,Los Angeles,Los Angeles
6019000700,93706,Fresno,Fresno 
6065030300,92501,Riverside,Riverside 
6019007100,93662,Selma,Fresno 
6037243100,90059,Los Angeles,Los Angeles
6037543305,90220,Compton,Los Angeles
6071005701,92401,San Bernardino,San Bernardino
6037204600,90023,Los Angeles,Los Angeles
6037227010,90011,Los Angeles,Los Angeles
6099002301,95351,Modesto,Stanislaus 
6019000100,93721,Fresno,Fresno 
6077001900,95205,Stockton,San Joaquin
6037206032,90033,Los Angeles,Los Angeles
6037226001,90021,Los Angeles,Los Angeles
6037239501,90001,Los Angeles,Los Angeles
6019002000,93728,Fresno,Fresno 
6077005119,95330,Lathrop,San Joaquin
6037203100,90033,Los Angeles,Los Angeles
6037530700,90063,Los Angeles,Los Angeles
6073005000,92113,San Diego,San Diego
6037301601,91201,Glendale,Los Angeles
6037185320,90065,Los Angeles,Los Angeles
6037543202,90220,Compton,Los Angeles
6065030502,92507,Riverside,Riverside 
6071012500,92324,Colton,San Bernardino
6037531302,90023,Los Angeles,Los Angeles
6019001301,93702,Fresno,Fresno 
6019002502,93702,Fresno,Fresno 
6037402801,91766,Pomona,Los Angeles
6019001304,93702,Fresno,Fresno 
6077002201,95206,Stockton,San Joaquin
6037532304,90040,Los Angeles,Los Angeles
6019001303,93702,Fresno,Fresno 
6029002200,93307,Bakersfield,Kern 
6037205110,90023,Los Angeles,Los Angeles
6037570502,90805,Long Beach,Los Angeles
6037291210,90247,Gardena,Los Angeles
6037219901,90016,Los Angeles,Los Angeles
6037534202,90201,Bell,Los Angeles
6037540400,90059,Los Angeles,Los Angeles
6065046700,92518,March Air Reserve Base,Riverside 
6029002301,93307,Bakersfield,Kern 
6071002501,92335,Fontana,San Bernardino
6019008502,93648,Parlier,Fresno 
6019000502,93701,Fresno,Fresno 
6037242100,90002,Los Angeles,Los Angeles
6037203500,90033,Los Angeles,Los Angeles
6037302401,91204,Glendale,Los Angeles
6067005301,95811,Sacramento,Sacramento 
6037204820,90023,Los Angeles,Los Angeles
6037532302,90023,Los Angeles,Los Angeles
6073004900,92113,San Diego,San Diego
6037229420,90011,Los Angeles,Los Angeles
6037541001,90248,Gardena,Los Angeles
6099002200,95351,Modesto,Stanislaus 
6037534302,90201,Bell,Los Angeles
6073003902,92113,San Diego,San Diego
6037239701,90003,Los Angeles,Los Angeles
6077002300,95206,Stockton,San Joaquin
6037570301,90805,Long Beach,Los Angeles
6071012400,92408,San Bernardino,San Bernardino
6037128302,91411,Van Nuys,Los Angeles
6037242700,90059,Los Angeles,Los Angeles
6065031300,92504,Riverside,Riverside 
6071007000,92324,Colton,San Bernardino
6037533001,90001,Los Angeles,Los Angeles
6037121222,91352,Sun Valley,Los Angeles
6037532800,90001,Los Angeles,Los Angeles
6037239601,90003,Los Angeles,Los Angeles
6037575401,90813,Long Beach,Los Angeles
6077002401,95206,Stockton,San Joaquin
6037534201,90201,Bell,Los Angeles
6037122410,91605,North Hollywood,Los Angeles
6037239702,90003,Los Angeles,Los Angeles
6037572800,90810,Long Beach,Los Angeles
6073003601,92113,San Diego,San Diego
6037228100,90011,Los Angeles,Los Angeles
6037292000,90501,Torrance,Los Angeles
6037434001,91732,El Monte,Los Angeles
6037122122,91352,Sun Valley,Los Angeles
6099001500,95358,Modesto,Stanislaus 
6037242600,90059,Los Angeles,Los Angeles
6077000900,95203,Stockton,San Joaquin
6037228900,90058,Los Angeles,Los Angeles
6037433302,91732,El Monte,Los Angeles
6099001400,95350,Modesto,Stanislaus 
6099002402,95358,Modesto,Stanislaus 
6071005600,92410,San Bernardino,San Bernardino
6019003001,93727,Fresno,Fresno 
6037402304,91768,Pomona,Los Angeles
6037122420,91605,North Hollywood,Los Angeles
6037536103,90280,South Gate,Los Angeles
6037199700,90031,Los Angeles,Los Angeles
6019006802,93654,Reedley,Fresno 
6029002100,93307,Bakersfield,Kern 
6037219902,90016,Los Angeles,Los Angeles
6037206300,90013,Los Angeles,Los Angeles
6037123206,91606,North Hollywood,Los Angeles
6077000600,95205,Stockton,San Joaquin
6065030104,92501,Riverside,Riverside 
6071004004,92324,Colton,San Bernardino
6037540901,90061,Los Angeles,Los Angeles
6037532603,90255,Huntington Park,Los Angeles
6029002400,93307,Bakersfield,Kern 
6065042505,92553,Moreno Valley,Riverside 
6071002204,92335,Fontana,San Bernardino
6037239502,90001,Los Angeles,Los Angeles
6019003805,93722,Fresno,Fresno 
6037553601,90723,Paramount,Los Angeles
6037402804,91766,Pomona,Los Angeles
6019001800,93706,Fresno,Fresno 
6071001813,91761,Ontario,San Bernardino
6037534301,90201,Bell,Los Angeles
6037206200,90012,Los Angeles,Los Angeles
6037432801,91731,El Monte,Los Angeles
6037601600,90304,Inglewood,Los Angeles
6037229410,90011,Los Angeles,Los Angeles
6037601401,90301,Inglewood,Los Angeles
6037239602,90003,Los Angeles,Los Angeles
6037127400,91406,Van Nuys,Los Angeles
6037302302,91204,Glendale,Los Angeles
6037228800,90058,Los Angeles,Los Angeles
6071005500,92405,San Bernardino,San Bernardino
6037533002,90001,Los Angeles,Los Angeles
6037543100,90220,Compton,Los Angeles
6037575801,90813,Long Beach,Los Angeles
6077001500,95205,Stockton,San Joaquin
6037532900,90001,Los Angeles,Los Angeles
6029002302,93307,Bakersfield,Kern 
6037291130,90248,Gardena,Los Angeles
6037553701,90723,Paramount,Los Angeles
6037535101,90001,Los Angeles,Los Angeles
6019002601,93702,Fresno,Fresno 
6071001309,91764,Ontario,San Bernardino
6099001800,95354,Modesto,Stanislaus 
6037535200,90002,Los Angeles,Los Angeles
6037203300,90033,Los Angeles,Los Angeles
6037404703,91706,Baldwin Park,Los Angeles
6037242200,90002,Los Angeles,Los Angeles
6037535603,90280,South Gate,Los Angeles
6019001700,93725,Fresno,Fresno 
6037570202,90805,Long Beach,Los Angeles
6037541604,90221,Compton,Los Angeles
6037535300,90001,Los Angeles,Los Angeles
6037123304,91605,North Hollywood,Los Angeles
6037536102,90280,South Gate,Los Angeles
6037237202,90047,Los Angeles,Los Angeles
6065030400,92507,Riverside,Riverside 
6037542502,90220,Compton,Los Angeles
6037127104,91405,Van Nuys,Los Angeles
6019002800,93703,Fresno,Fresno 
6037433901,91732,El Monte,Los Angeles
6071004003,92316,Bloomington,San Bernardino
6037302505,91205,Glendale,Los Angeles
6077002000,95205,Stockton,San Joaquin
6037188100,90039,Los Angeles,Los Angeles
6065040204,92509,Riverside,Riverside 
6037240500,90003,Los Angeles,Los Angeles
6071004104,92407,San Bernardino,San Bernardino
6037602509,90250,Hawthorne,Los Angeles
6047001005,95348,Merced,Merced 
6099003700,95380,Turlock,Stanislaus 
6077002402,95206,Stockton,San Joaquin
6037239320,90003,Los Angeles,Los Angeles
6037542601,90222,Compton,Los Angeles
6037122121,91352,Sun Valley,Los Angeles
6037219800,90016,Los Angeles,Los Angeles
6037541603,90222,Compton,Los Angeles
6037402303,91768,Pomona,Los Angeles
6065042209,92507,Riverside,Riverside 
6037433801,91733,South El Monte,Los Angeles
6037601502,90304,Inglewood,Los Angeles
6037121020,91605,North Hollywood,Los Angeles
6037572301,90810,Long Beach,Los Angeles
6037204700,90023,Los Angeles,Los Angeles
6037535606,90280,South Gate,Los Angeles
6037239330,90001,Los Angeles,Los Angeles
6019002400,93703,Fresno,Fresno 
6099000304,95367,Riverbank,Stanislaus 
6037122000,91605,North Hollywood,Los Angeles
6037534101,90201,Bell,Los Angeles
6077003802,95206,Stockton,San Joaquin
6037602801,90044,Los Angeles,Los Angeles
6099002501,95358,Modesto,Stanislaus 
6077003900,95206,Stockton,San Joaquin
6019001410,93725,Fresno,Fresno 
6067000700,95814,Sacramento,Sacramento 
6071002110,91730,Rancho Cucamonga,San Bernardino
6037532303,90040,Los Angeles,Los Angeles
6037123010,91352,Sun Valley,Los Angeles
6037296210,90731,San Pedro,Los Angeles
6037124103,91606,North Hollywood,Los Angeles
6071005400,92405,San Bernardino,San Bernardino
6037104703,91331,Pacoima,Los Angeles
6037239310,90003,Los Angeles,Los Angeles
6037575802,90813,Long Beach,Los Angeles
6037541002,90746,Carson,Los Angeles
6037229300,90011,Los Angeles,Los Angeles
6037602600,90249,Gardena,Los Angeles
6037570402,90805,Long Beach,Los Angeles
6037224010,90015,Los Angeles,Los Angeles
6071001400,91762,Ontario,San Bernardino
6031001100,93230,Hanford,Kings 
6037294620,90744,Wilmington,Los Angeles
6037294900,90744,Wilmington,Los Angeles
6071001501,91764,Ontario,San Bernardino
6037294830,90744,Wilmington,Los Angeles
6099001700,95351,Modesto,Stanislaus 
6099001601,95351,Modesto,Stanislaus 
6071005800,92410,San Bernardino,San Bernardino
6037541100,90220,Compton,Los Angeles
6037533806,90201,Bell,Los Angeles
6037542402,90221,Compton,Los Angeles
6077002701,95215,Stockton,San Joaquin
6037208000,90026,Los Angeles,Los Angeles
6037229100,90011,Los Angeles,Los Angeles
6037301602,91201,Glendale,Los Angeles
6037533901,90201,Bell,Los Angeles
6001409000,94621,Oakland,Alameda 
6037541400,90222,Compton,Los Angeles
6037534102,90201,Bell,Los Angeles
6037573201,90806,Long Beach,Los Angeles
6037531301,90023,Los Angeles,Los Angeles
6037553702,90723,Paramount,Los Angeles
6037536104,90280,South Gate,Los Angeles
6037535001,90001,Los Angeles,Los Angeles
6037543000,90220,Compton,Los Angeles
6019000501,93721,Fresno,Fresno 
6099003802,95380,Turlock,Stanislaus 
6037404802,91706,Baldwin Park,Los Angeles
6037542401,90221,Compton,Los Angeles
6037199000,90031,Los Angeles,Los Angeles
6037187102,90039,Los Angeles,Los Angeles
6037553801,90723,Paramount,Los Angeles
6071001504,91764,Ontario,San Bernardino
6037232500,90062,Los Angeles,Los Angeles
6037404702,91706,Baldwin Park,Los Angeles
6099000803,95350,Modesto,Stanislaus 
6037241001,90061,Los Angeles,Los Angeles
6037402702,91767,Pomona,Los Angeles
6037240200,90003,Los Angeles,Los Angeles
6071001803,91761,Ontario,San Bernardino
6037530902,90063,Los Angeles,Los Angeles
6037602002,90250,Hawthorne,Los Angeles
6071007200,92408,San Bernardino,San Bernardino
6037433102,91733,South El Monte,Los Angeles
6037550000,90650,Norwalk,Los Angeles
6037540000,90262,Lynwood,Los Angeles
6019004404,93650,Fresno,Fresno 
6037220100,90016,Los Angeles,Los Angeles
6037540700,90059,Los Angeles,Los Angeles
6037404701,91706,Baldwin Park,Los Angeles
6037531602,90022,Los Angeles,Los Angeles
6037204910,90023,Los Angeles,Los Angeles
6037543400,90746,Carson,Los Angeles
6037239801,90001,Los Angeles,Los Angeles
6037553802,90723,Paramount,Los Angeles
6037530500,90022,Los Angeles,Los Angeles
6019008501,93662,Selma,Fresno 
6037408800,91766,Pomona,Los Angeles
6001409100,94603,Oakland,Alameda 
6065030103,92501,Riverside,Riverside 
6065041410,92879,Corona,Riverside 
6037297110,90731,San Pedro,Los Angeles
6019002702,93702,Fresno,Fresno 
6037530601,90063,Los Angeles,Los Angeles
6029002000,93304,Bakersfield,Kern 
6037541500,90222,Compton,Los Angeles
6037572500,90810,Long Beach,Los Angeles
6037104310,91331,Pacoima,Los Angeles
6065042508,92551,Moreno Valley,Riverside 
6037241120,90061,Los Angeles,Los Angeles
6037242300,90002,Los Angeles,Los Angeles
6001408800,94621,Oakland,Alameda 
6029006201,93307,Bakersfield,Kern 
6037122200,91352,Sun Valley,Los Angeles
6037543801,90745,Carson,Los Angeles
6073003901,92113,San Diego,San Diego
6029004604,93250,MC Farland,Kern 
6029002600,93307,Bakersfield,Kern 
6037231720,90037,Los Angeles,Los Angeles
6065030503,92507,Riverside,Riverside 
6077003700,95215,Stockton,San Joaquin
6037191810,90038,Los Angeles,Los Angeles
6037502500,90660,Pico Rivera,Los Angeles
6037542602,90220,Compton,Los Angeles
6019003400,93703,Fresno,Fresno 
6065040102,92509,Riverside,Riverside 
6037530801,90063,Los Angeles,Los Angeles
6037227020,90011,Los Angeles,Los Angeles
6037533902,90201,Bell,Los Angeles
6037530802,90063,Los Angeles,Los Angeles
6047002201,93635,Los Banos,Merced 
6037534502,90255,Huntington Park,Los Angeles
6037294701,90744,Wilmington,Los Angeles
6037534900,90001,Los Angeles,Los Angeles
6037195802,90026,Los Angeles,Los Angeles
6037534405,90201,Bell,Los Angeles
6071007108,92324,Colton,San Bernardino
6037104401,91331,Pacoima,Los Angeles
6037570403,90805,Long Beach,Los Angeles
6111004902,93030,Oxnard,Ventura 
6037402501,91766,Pomona,Los Angeles
6037570203,90805,Long Beach,Los Angeles
6037123204,91606,North Hollywood,Los Angeles
6037229200,90011,Los Angeles,Los Angeles
6037127220,91405,Van Nuys,Los Angeles
6073005100,92113,San Diego,San Diego
6037542106,90221,Compton,Los Angeles
6037123203,91605,North Hollywood,Los Angeles
6037192700,90004,Los Angeles,Los Angeles
6037239201,90003,Los Angeles,Los Angeles
6037532700,90001,Los Angeles,Los Angeles
6037232120,90037,Los Angeles,Los Angeles
6037571701,90805,Long Beach,Los Angeles
6037218500,90016,Los Angeles,Los Angeles
6071007604,92374,Redlands,San Bernardino
6037541605,90221,Compton,Los Angeles
6037204810,90023,Los Angeles,Los Angeles
6019002701,93702,Fresno,Fresno 
6037531504,90022,Los Angeles,Los Angeles
6037502301,90606,Whittier,Los Angeles
6099002004,95354,Modesto,Stanislaus 
6071004800,92411,San Bernardino,San Bernardino
6037224020,90007,Los Angeles,Los Angeles
6037535002,90001,Los Angeles,Los Angeles
6037228720,90011,Los Angeles,Los Angeles
6037541606,90221,Compton,Los Angeles
6037503000,90605,Whittier,Los Angeles
6037536000,90280,South Gate,Los Angeles
6037208302,90026,Los Angeles,Los Angeles
6025011400,92243,El Centro,Imperial 
6037603001,90247,Gardena,Los Angeles
6037602900,90249,Gardena,Los Angeles
6059086407,92806,Anaheim,Orange 
6077005131,95336,Manteca,San Joaquin
6099003804,95380,Turlock,Stanislaus 
6037541700,90262,Lynwood,Los Angeles
6037219300,90018,Los Angeles,Los Angeles
6037190801,90028,Los Angeles,Los Angeles
6037206010,90012,Los Angeles,Los Angeles
6037104320,91331,Pacoima,Los Angeles
6037408301,91746,La Puente,Los Angeles
6037190510,90028,Los Angeles,Los Angeles
6037402903,91766,Pomona,Los Angeles
6037128303,91411,Van Nuys,Los Angeles
6029000400,93308,Bakersfield,Kern 
6099002005,95354,Modesto,Stanislaus 
6037402406,91768,Pomona,Los Angeles
6037533603,90201,Bell,Los Angeles
6107003400,93257,Porterville,Tulare 
6111009100,93030,Oxnard,Ventura 
6019002602,93702,Fresno,Fresno 
6071006601,92324,Colton,San Bernardino
6037243000,90002,Los Angeles,Los Angeles
6037228710,90011,Los Angeles,Los Angeles
6099002604,95307,Ceres,Stanislaus 
6037433101,91731,El Monte,Los Angeles
6029004800,93215,Delano,Kern 
6037603102,90247,Gardena,Los Angeles
6037533602,90201,Bell,Los Angeles
6037502902,90670,Santa Fe Springs,Los Angeles
6071004103,92407,San Bernardino,San Bernardino
6071000301,91763,Montclair,San Bernardino
6071003301,92335,Fontana,San Bernardino
6019003809,93722,Fresno,Fresno 
6037542200,90221,Compton,Los Angeles
6037502302,90606,Whittier,Los Angeles
6039000502,93637,Madera,Madera 
6019008302,93640,Mendota,Fresno 
6037240900,90059,Los Angeles,Los Angeles
6037294120,90744,Wilmington,Los Angeles
6037241002,90059,Los Angeles,Los Angeles
6099002401,95358,Modesto,Stanislaus 
6037241202,90044,Los Angeles,Los Angeles
6037123020,91352,Sun Valley,Los Angeles
6037120300,91402,Panorama City,Los Angeles
6071004201,92411,San Bernardino,San Bernardino
6037207102,90012,Los Angeles,Los Angeles
6037535604,90280,South Gate,Los Angeles
6071006500,92410,San Bernardino,San Bernardino
6037533105,90255,Huntington Park,Los Angeles
6067005205,95826,Sacramento,Sacramento 
6037120020,91402,Panorama City,Los Angeles
6099003100,95358,Modesto,Stanislaus 
6037402402,91766,Pomona,Los Angeles
6037532001,90640,Montebello,Los Angeles
6037405001,91706,Baldwin Park,Los Angeles
6037533805,90201,Bell,Los Angeles
6037534203,90201,Bell,Los Angeles
6047001301,95340,Merced,Merced 
6037534803,90255,Huntington Park,Los Angeles
6065042904,92570,Perris,Riverside 
6037532606,90255,Huntington Park,Los Angeles
6037533601,90201,Bell,Los Angeles
6037123205,91605,North Hollywood,Los Angeles
6037209103,90017,Los Angeles,Los Angeles
6013379000,94804,Richmond,Contra Costa
6037291300,90248,Gardena,Los Angeles
6037121900,91352,Sun Valley,Los Angeles
6037540600,90059,Los Angeles,Los Angeles
6107002901,93274,Tulare,Tulare 
6037186401,90065,Los Angeles,Los Angeles
6037533103,90255,Huntington Park,Los Angeles
6037432802,91731,El Monte,Los Angeles
6013312000,94565,Pittsburg,Contra Costa
6037191000,90028,Los Angeles,Los Angeles
6071000904,91786,Upland,San Bernardino
6037226700,90011,Los Angeles,Los Angeles
6065040101,92509,Riverside,Riverside 
6099001900,95354,Modesto,Stanislaus 
6037226410,90011,Los Angeles,Los Angeles
6037226420,90011,Los Angeles,Los Angeles
6037533202,90255,Huntington Park,Los Angeles
6077001800,95205,Stockton,San Joaquin
6065041600,92879,Corona,Riverside 
6067002200,95818,Sacramento,Sacramento 
6037240600,90003,Los Angeles,Los Angeles
6037123303,91605,North Hollywood,Los Angeles
6099002002,95357,Modesto,Stanislaus 
6037540902,90061,Los Angeles,Los Angeles
6037541200,90222,Compton,Los Angeles
6019004205,93722,Fresno,Fresno 
6037402301,91768,Pomona,Los Angeles
6037241400,90061,Los Angeles,Los Angeles
6071001503,91764,Ontario,San Bernardino
6037603302,90247,Gardena,Los Angeles
6037127605,91406,Van Nuys,Los Angeles
6037432700,91731,El Monte,Los Angeles
6037433902,91732,El Monte,Los Angeles
