city,county
ACAMPO,SAN JOAQUIN
ACTON,LOS ANGELES
ADELANTO,SAN BERNARDINO
AGOURA HILLS,LOS ANGELES
ALAMEDA,ALAMEDA
ALAMO,CONTRA COSTA
ALBANY,ALAMEDA
ALHAMBRA,LOS ANGELES
ALISO VIEJO,ORANGE
ALPINE,SAN DIEGO
ALTA,PLACER
ALTADENA,LOS ANGELES
ALTURAS,MODOC
ALVISO,SANTA CLARA
AMERICAN CANYON,NAPA
ANAHEIM,ORANGE
ANDERSON,SHASTA
ANGELS CAMP,CALAVERAS
ANGELUS OAKS,SAN BERNARDINO
ANGWIN,NAPA
ANTELOPE,SACRAMENTO
ANTIOCH,CONTRA COSTA
ANZA,RIVERSIDE
APPLE VALLEY,SAN BERNARDINO
APPLEGATE,PLACER
APTOS,SANTA CRUZ
ARBUCKLE,COLUSA
ARCADIA,LOS ANGELES
ARCATA,HUMBOLDT
ARNOLD,CALAVERAS
ARROYO GRANDE,SAN LUIS OBISPO
ARTESIA,LOS ANGELES
ARVIN,KERN
ATASCADERO,SAN LUIS OBISPO
ATHERTON,SAN MATEO
ATWATER,MERCED
AUBURN,PLACER
AVALON,LOS ANGELES
AVENAL,KINGS
AZUSA,LOS ANGELES
BAKER,SAN BERNARDINO
BAKERSFIELD,KERN
BALDWIN PARK,LOS ANGELES
BALLICO,MERCED
BANNING,RIVERSIDE
BARSTOW,SAN BERNARDINO
BAYSIDE,HUMBOLDT
BEAUMONT,RIVERSIDE
BELL,LOS ANGELES
BELLFLOWER,LOS ANGELES
BELMONT,SAN MATEO
BELVEDERE TIBURON,MARIN
BEN LOMOND,SANTA CRUZ
BENICIA,SOLANO
BERKELEY,ALAMEDA
BERRY CREEK,BUTTE
BEVERLY HILLS,LOS ANGELES
BIG BAR,TRINITY
BIG BEAR CITY,SAN BERNARDINO
BIG BEAR LAKE,SAN BERNARDINO
BIGGS,BUTTE
BISHOP,INYO
BLAIRSDEN-GRAEAGLE,PLUMAS
BLOCKSBURG,HUMBOLDT
BLOOMINGTON,SAN BERNARDINO
BLUE LAKE,HUMBOLDT
BLYTHE,RIVERSIDE
BONITA,SAN DIEGO
BONSALL,SAN DIEGO
BORON,KERN
BORREGO SPRINGS,SAN DIEGO
BOULDER CREEK,SANTA CRUZ
BRADLEY,MONTEREY
BRAWLEY,IMPERIAL
BREA,ORANGE
BRENTWOOD,CONTRA COSTA
BRIDGEPORT,MONO
BRIDGEVILLE,HUMBOLDT
BRISBANE,SAN MATEO
BUENA PARK,ORANGE
BURBANK,LOS ANGELES
BURLINGAME,SAN MATEO
BURNEY,SHASTA
BUTTONWILLOW,KERN
CALABASAS,LOS ANGELES
CALEXICO,IMPERIAL
CALIENTE,KERN
CALIFORNIA CITY,KERN
CALIFORNIA HOT SPRINGS,TULARE
CALIMESA,RIVERSIDE
CALIPATRIA,IMPERIAL
CALISTOGA,NAPA
CALPINE,SIERRA
