,SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,Budget,Resource Claims,OBF Claims,Total Claims,Total Programs,% OBF,% Resource
0,ACAMPO,48664.72674,-148.89033,17684.56850862034,6,0,6,1,0.0,100.0
1,ADELANTO,40730.532696,-90.11179800000001,81960.18969323949,12,0,12,1,0.0,100.0
2,ALAMO,73049.39259999999,118.64523999999994,48785.5426833944,15,2,15,1,13.333333333333334,100.0
3,ALBANY,158184.14900000003,-818.16733444,63829.667145763684,40,0,40,2,0.0,100.0
4,ALHAMBRA,43261.89878399999,-64.344924832,96930.89520237292,14,0,14,1,0.0,100.0
5,ALTA,185.0,0.0,12.8399316662954,1,0,1,1,0.0,100.0
6,ALTADENA,42279.20000000001,0.0,28735.007787095426,30,0,30,1,0.0,100.0
7,AMERICAN CANYON,246321.56896000003,-390.57183000000003,113629.61569686409,737,0,737,2,0.0,100.0
8,ANAHEIM,5687.296224,-3.2706305820000003,8210.13686114256,6,0,6,1,0.0,100.0
9,ANDERSON,153146.06399999998,-137.86500238399998,162295.57250721753,18,5,18,2,27.77777777777778,100.0
10,ANGELS CAMP,34384.047026,-285.90726,18687.83465337712,8,0,8,2,0.0,100.0
11,ANGWIN,12649.271999999999,-112.63211,5444.597849844852,3,0,3,1,0.0,100.0
12,ANTIOCH,1090695.4041159998,-1536.5119004300009,755682.0797616687,405,93,405,2,22.962962962962962,100.0
13,APPLE VALLEY,593681.85,-580.752,536253.4151128946,55,55,55,1,100.0,100.0
14,APTOS,344026.4910000001,-3084.893000000001,193663.26518843794,40,10,40,2,25.0,100.0
15,ARBUCKLE,47268.9,0.0,45369.20434260137,2,0,2,1,0.0,100.0
16,ARCADIA,144685.62,0.0,81686.3946034292,4,0,4,1,0.0,100.0
17,ARCATA,587077.163379,-1538.4053091700007,590409.3744903603,470,9,470,2,1.9148936170212765,100.0
18,ARMONA,3800.3878080000004,-13.181525280000002,15675.391457861742,4,0,4,1,0.0,100.0
19,ARNOLD,1858.7199999999998,-12.782340000000001,1547.710453935579,4,0,4,1,0.0,100.0
20,AROMAS,61619.141,-311.125,40748.69540591155,7,0,7,1,0.0,100.0
21,ARROYO GRANDE,282692.1174599999,-1218.98604706,141893.20786205024,94,0,94,2,0.0,100.0
22,ARVIN,235985.14137,-1118.2189301050003,99105.11401967792,69,20,69,1,28.985507246376812,100.0
23,ATASCADERO,504578.71262599993,-2312.4738935620003,262234.12880019745,333,9,333,2,2.7027027027027026,100.0
24,ATHERTON,1010.0,0.0,721.490514949886,4,0,4,1,0.0,100.0
25,ATWATER,389167.98519999994,-143.42904103,520194.9347985986,1444,666,1444,3,46.121883656509695,100.0
26,AUBURN,215833.16163999998,-1196.4284196370004,222860.33270627292,152,12,152,3,7.894736842105263,100.0
27,AVILA BEACH,15711.72032,-13.54369,7001.948021230503,34,0,34,2,0.0,100.0
28,BAKERSFIELD,15554655.202253181,-50313.14373544007,6152233.043706681,18569,12417,18569,2,66.86951370563843,100.0
29,BAKERSIFELD,4681.399999999995,0.0,1062.96861515541,75,74,75,1,98.66666666666667,100.0
30,BALBOA,14350.0,0.0,8163.716320216276,6,6,6,1,100.0,100.0
31,BALDWIN PARK,1363587.7118799998,-46.457743752,845537.8452406427,20,2,20,1,10.0,100.0
32,BANTA,51475.5,0.0,14839.8038306952,1,0,1,1,0.0,100.0
33,BARSTOW,400475.3669639999,-154.188657,374397.38241764955,25,12,25,1,48.0,100.0
34,BAY POINT,49620.718547000004,-622.20315,45875.80975605724,65,0,65,1,0.0,100.0
35,BAYSIDE,6922.39315,-143.40828600000006,8670.684152624242,48,0,48,1,0.0,100.0
36,BELMONT,152082.27599999998,0.0,116368.48006530586,13,0,13,2,0.0,100.0
37,BELVEDERE,7369.280000000001,-44.849,5473.690049386841,7,0,7,1,0.0,100.0
38,BEN LOMOND,17841.033,-166.905,8335.549908928033,3,0,3,1,0.0,100.0
39,BENICIA,441123.88442000013,-2142.2484031550002,247349.30872791616,126,2,126,3,1.5873015873015872,100.0
40,BENTON,7453.8,-24.462,13589.733029383804,6,6,6,1,100.0,100.0
41,BERKELEY,868304.5384962996,-5398.475612136998,576967.0214549488,409,4,409,3,0.9779951100244498,100.0
42,BETHEL ISLAND,6215.408316,-75.43593,5797.642936258272,2,0,2,1,0.0,100.0
43,BEVERLY HILLS,831404.09472,-1.4966138880000002,817664.1114247674,70,0,70,1,0.0,100.0
44,BISHOP,8411.811135999998,-60.827031968,119837.93931135206,12,2,12,1,16.666666666666664,100.0
45,BLUE LAKE,26787.968300000004,-90.48684847000001,13924.298534765909,121,0,121,2,0.0,100.0
46,BLYTHE,741659.04,0.0,183298.90524066662,26,4,26,1,15.384615384615385,100.0
47,BODEGA BAY,10132.733844,-79.20504,5087.608584548454,3,0,3,1,0.0,100.0
48,BOONVILLE,35829.170794,-492.05043,21367.7704630503,3,0,3,1,0.0,100.0
49,BOULDER CREEK,110122.70037600001,-725.8075600000002,61971.34270607802,29,12,29,1,41.37931034482759,100.0
50,BRADLEY,1465.0,0.0,72.48918860066381,5,0,5,1,0.0,100.0
51,BREA,113814.72,0.0,54271.407049270194,2,0,2,1,0.0,100.0
52,BRENTWOOD,214418.7070000013,-158.95487156000004,172741.46154786268,970,857,970,2,88.35051546391752,100.0
53,BRIDGEPORT,103865.90000000005,-640.8937999999999,223487.74750687566,58,58,58,1,100.0,100.0
54,BRIDGEVILLE,7859.1214,28.4714,7382.012315859684,4,0,4,1,0.0,100.0
55,BRISBANE,309040.37299999996,-785.4254000000001,127604.29497247463,58,8,58,1,13.793103448275861,100.0
56,BROOKDALE,41170.0,0.0,21714.0032833565,1,0,1,1,0.0,100.0
57,BROWNS VALLEY,370.0,0.0,25.6798633325908,2,0,2,1,0.0,100.0
58,BUELLTON,177738.94667,-411.48968063,54104.79256186163,277,4,277,3,1.444043321299639,100.0
59,BUENA PARK,379122.4400320001,1258.921912798,192285.98125399248,67,52,67,1,77.61194029850746,100.0
60,BURLINGAME,1331067.259,-4042.5826175319994,537631.7989973895,920,21,920,3,2.282608695652174,100.0
61,BURNEY,8857.665,-14.597999666,10321.75528831893,5,5,5,1,100.0,100.0
62,BUTTONWILLOW,164338.92449000003,-703.07328,78305.35565433776,19,0,19,1,0.0,100.0
63,CALISTOGA,212789.11454102004,-701.44185876,88825.42096924083,271,0,271,2,0.0,100.0
64,CAMARILLO,52561.08231526,-32.94397222199999,99939.5351500705,18,0,18,1,0.0,100.0
65,CAMBRIA,50718.60659000001,-396.96617,19600.02680502434,80,0,80,2,0.0,100.0
66,CAMERON PARK,50365.50622,-305.68307000000004,38962.8684860421,13,0,13,1,0.0,100.0
67,CAMINO,4154.83416,-36.13185,3354.113980844292,2,0,2,1,0.0,100.0
68,CAMP MEEKER,409.744,-9.6526,462.6536733978288,3,0,3,1,0.0,100.0
69,CAMPBELL,480289.81839999993,-1585.1366906899998,343024.31153243885,579,5,579,2,0.8635578583765112,100.0
70,CANYON COUNTRY,63782.880000000005,0.0,47068.95351277126,6,0,6,2,0.0,100.0
71,CANYON LAKE,38834.45729279998,-34.12482334,57870.92373005117,32,0,32,1,0.0,100.0
72,CAPITOLA,353262.62996000005,-1670.35581,154800.6382717023,29,6,29,1,20.689655172413794,100.0
73,CARLOTTA,16778.387,850.2356000000001,34203.47338296772,6,0,6,1,0.0,100.0
74,CARMEL,157141.538,-1449.5060000000003,90717.01788277357,38,13,38,1,34.21052631578947,100.0
75,CARMEL VALLEY,30851.149000000005,-188.4,19611.902000471644,7,0,7,1,0.0,100.0
76,CARPINTERIA,14417.179200000002,-8.603895123,32428.57806597298,12,0,12,1,0.0,100.0
77,CARSON,1862807.3845759998,12080.105237447999,944414.095915246,218,58,218,2,26.605504587155966,100.0
78,CARUTHERS,23185.278,-114.822,10472.48039643377,2,0,2,1,0.0,100.0
79,CASTAIC,181880.52000000008,0.0,104468.72800251446,40,0,40,1,0.0,100.0
80,CASTRO VALLEY,324402.5594382201,-3566.6704600000003,225039.41295830262,94,0,94,2,0.0,100.0
81,CASTROVILLE,206877.143,-1592.6589999999999,122974.92419905923,24,6,24,2,25.0,100.0
82,CAYUCOS,18655.46744,-52.85779,13042.578515109506,11,0,11,2,0.0,100.0
83,CAZADERO,352.74800000000005,-8.2834,377.10451098764725,4,0,4,1,0.0,100.0
84,CERRITOS,17571.600000000002,0.0,4535.270440403732,6,6,6,1,100.0,100.0
85,CHALFANT VALLEY,2553.320000000001,-25.145999999999997,5896.5080292984885,8,8,8,1,100.0,100.0
86,CHATSWORTH,2755.2,0.0,1685.1114151404322,2,0,2,1,0.0,100.0
87,CHICO,1550507.0255999991,-1726.031373624,1301852.4358469332,4527,37,4527,5,0.8173183123481335,100.0
88,CHOWCHILLA,461350.78199999983,-390.20399911999993,198932.87688557472,336,6,336,2,1.7857142857142856,100.0
89,CHUALAR,98910.981,-622.6740000000001,62023.26814244574,3,0,3,1,0.0,100.0
90,CLAREMONT,237551.75499999995,0.0,99620.63558170562,20,8,20,1,40.0,100.0
91,CLAYTON,56473.20302,-245.09834161,33937.22711075336,74,0,74,2,0.0,100.0
92,CLEARLAKE,389068.14780000004,-1718.9025320299997,233429.42559675456,58,5,58,2,8.620689655172415,100.0
93,CLEARLAKE OAKS,48434.09215800001,-680.44902,32304.51729680145,8,0,8,1,0.0,100.0
94,CLOVERDALE,255002.11828,-713.0857492700001,115774.55701605757,26,0,26,1,0.0,100.0
95,CLOVIS,1726496.7000000002,-1740.9203059650001,888556.556197116,7736,42,7736,3,0.5429162357807653,100.0
96,COALINGA,212603.09999999995,-182.403002789,55568.83053209525,593,0,593,2,0.0,100.0
97,COARSEGOLD,49681.44299999999,-234.084,20641.20544102424,7,0,7,1,0.0,100.0
98,COLFAX,7543.0,-20.869999999999997,2838.1853823024408,30,0,30,2,0.0,100.0
99,COLMA,236375.16999999995,-659.0699999999999,38771.9931071736,16,14,16,1,87.5,100.0
100,COLUSA,3804.3,-41.274,3263.8195708408603,4,0,4,1,0.0,100.0
101,CONCORD,1096864.6063670022,-4181.308750539999,631970.2314711661,769,28,769,1,3.6410923276983094,100.0
102,COPPEROPOLIS,1300.02534,-5.23692,1478.38055773354,1,0,1,1,0.0,100.0
103,CORCORAN,66692.0,0.0,4473.787690208487,345,0,345,1,0.0,100.0
104,CORNING,115242.68,0.0,15793.386300896884,443,0,443,2,0.0,100.0
105,CORONA,4991700.161280003,-14.36443008,2143090.233230802,826,0,826,1,0.0,100.0
106,CORONA DEL MAR,43044.09475199999,-4.734673722,38732.14379232646,32,20,32,1,62.5,100.0
107,CORTE MADERA,61005.82086,-327.50112974300004,39199.555826151234,59,4,59,3,6.779661016949152,100.0
108,COSTA MESA,551357.9476080005,-66.00550106199995,297891.1168758515,160,40,160,1,25.0,100.0
109,COTATI,271937.380978,-1462.2161777099996,109152.81199084352,403,0,403,2,0.0,100.0
110,COULTERVILLE,6691.725804,-73.33265,5142.6919003354615,3,0,3,1,0.0,100.0
111,CRESSEY,3937.909,-15.075999999999999,3363.5319924639653,3,0,3,1,0.0,100.0
112,CROWLEY LAKE,2259.0,0.0,5491.25845535032,2,2,2,1,100.0,100.0
113,CULVER CITY,864721.1616,-440.95234404800004,1480453.8141843777,76,34,76,1,44.73684210526316,100.0
114,CUPERTINO,521681.77999999997,-1188.7188477759996,261141.1036505616,397,2,397,2,0.5037783375314862,100.0
115,CUTTEN,84789.0,0.0,5631.594411100092,433,0,433,1,0.0,100.0
116,DALY CITY,718642.3037999956,-3768.93646,524902.0151105823,1370,1349,1370,2,98.46715328467154,100.0
117,DANVILLE,222325.986202,-287.87186,113364.03216243899,509,0,509,3,0.0,100.0
118,DAVIS,461193.6094000002,-514.0485399999999,229685.83042457976,68,25,68,3,36.76470588235294,100.0
119,DEL REY,50965.295,0.0,26216.988244312583,11,0,11,1,0.0,100.0
120,DELHI,12495.0,0.0,44447.83480405271,130,127,130,1,97.6923076923077,100.0
121,DIAMOND SPRINGS,21732.776820000003,-156.53430142,17294.148918036135,5,0,5,1,0.0,100.0
122,DILLON BEACH,559.472,-13.2788,855.0595343054033,5,0,5,1,0.0,100.0
123,DINUBA,190540.0,0.0,127050.24356852336,1203,113,1203,1,9.39318370739817,100.0
124,DISCOVERY BAY,4923.4,-46.903999999999996,6226.449271865447,4,0,4,1,0.0,100.0
125,DIXON,695920.4174800003,-1336.4785181000004,376371.70075504144,1097,0,1097,4,0.0,100.0
126,DOS PALOS,121536.86,-294.87030000000004,231156.53943895333,630,469,630,3,74.44444444444444,100.0
127,DOWNEY,3423997.781264,-63.83665597399998,1557597.9860065582,194,170,194,1,87.62886597938144,100.0
128,DOWNIEVILLE,18.5,-0.106,903.9732104590882,2,0,2,1,0.0,100.0
129,DUBLIN,287103.19299999997,-470.5794000000001,210357.95857072435,301,6,301,2,1.9933554817275747,100.0
130,DURHAM,185.0,0.0,13.932213076409099,1,0,1,1,0.0,100.0
131,EAST PALO ALTO,0.0,0.0,1763.1599855999998,1,0,1,1,0.0,100.0
132,EL CERRITO,401832.24984499987,-700.49489,183162.57684395934,1346,0,1346,1,0.0,100.0
133,EL DORADO HILLS,13795.699999999999,-24.6,6773.0870623650135,36,1,36,2,2.7777777777777777,100.0
134,EL MONTE,239840.04590600004,-356.44349044200004,243059.09039341402,80,0,80,1,0.0,100.0
135,EL PORTAL,0.0,0.0,39560.91981562809,6,0,6,1,0.0,100.0
136,EL SEGUNDO,35155.806336,-23.578635628,96888.09629625657,8,0,8,1,0.0,100.0
137,EL SOBRANTE,254112.48888121996,-2412.30969,194551.5933309147,123,16,123,2,13.008130081300814,100.0
138,EL TORO,6428.8,0.0,2249.68721655084,2,0,2,1,0.0,100.0
139,ELMIRA,133.78600000000003,-3.1351,87.2698175576482,2,0,2,1,0.0,100.0
140,EMERYVILLE,349156.8491978999,-843.3710799999999,230760.68839503225,799,8,799,2,1.0012515644555695,100.0
141,ESCALON,24555.36,-46.56,13850.468435570849,3,0,3,1,0.0,100.0
142,ESPARTO,0.0,0.0,1264.46001339,1,0,1,1,0.0,100.0
143,EUREKA,1934949.088883002,-21026.177727367,1658267.5341428127,2818,9,2818,3,0.319375443577005,100.0
144,FAIRFAX,193260.2195362002,-1062.44523408,156145.02988116708,791,664,791,2,83.94437420986094,100.0
145,FAIRFIELD,3791031.055761866,-17796.13223552902,1880583.3593402503,945,10,945,4,1.0582010582010581,100.0
146,FARMERSVILLE,25711.495656,-89.17951195999999,94340.82966838009,4,0,4,1,0.0,100.0
147,FELTON,242571.11200000002,-1283.7525999999998,126030.31071551701,20,4,20,1,20.0,100.0
148,FERNBRIDGE,0.0,0.0,625.1500107662999,1,0,1,1,0.0,100.0
149,FERNDALE,75791.586656,-836.3769728600003,56506.728157627054,169,0,169,2,0.0,100.0
150,FIELDBROOK,339.94820000000004,-3.646,199.8077175733696,4,0,4,2,0.0,100.0
151,FIELDS LANDING,7844.906800000001,-91.56239808000001,4440.887857359978,4,0,4,2,0.0,100.0
152,FILLMORE,31498.70976,-46.83721190399999,70055.703970605,2,0,2,1,0.0,100.0
153,FINLEY,71527.33727999999,-413.76546,62804.63843049744,6,0,6,1,0.0,100.0
154,FIREBAUGH,119501.4072,-13.814536,51464.87899765704,212,0,212,2,0.0,100.0
155,FIVE POINTS,40568.02,-4.74,31324.02422745806,10,6,10,1,60.0,100.0
156,FOLSOM,43074.0,0.0,20014.58191837048,191,0,191,2,0.0,100.0
157,FOREST KNOLLS,811.044,-19.2176,1216.6641823931702,4,0,4,1,0.0,100.0
158,FOREST RANCH,279.0,0.0,14.2829239724131,1,0,1,1,0.0,100.0
159,FORESTHILL,878.0,0.0,43.4781621784183,3,0,3,1,0.0,100.0
160,FORESTVILLE,15331.78218458,-206.02420999999998,6898.796940918337,11,0,11,1,0.0,100.0
161,FORT BRAGG,75289.232322,-483.46946678300003,57504.38333239297,19,0,19,1,0.0,100.0
162,FORTUNA,289304.91093679995,1005.1139555810001,358065.1024402415,158,11,158,1,6.962025316455696,100.0
163,FOSTER CITY,464174.99799999996,-184.0318143,96139.0496629666,13,10,13,2,76.92307692307693,100.0
164,FOUNTAIN VALLEY,52403.12499999999,0.0,18847.386098301573,14,0,14,1,0.0,100.0
165,FOWLER,94236.64322700001,-193.25200010900002,55271.09422469983,21,12,21,1,57.14285714285714,100.0
166,FREEDOM,25565.913,-237.726,16735.670594193412,3,2,3,1,66.66666666666666,100.0
167,FREMONT,4418185.062687916,-7715.446783706016,2539844.0958639733,14281,11039,14281,3,77.29850850780757,100.0
168,FRENCH CAMP,112990.17200000006,-96.26430000000003,60798.155469514684,151,0,151,1,0.0,100.0
169,FRESNO,5952346.555619996,-8505.860178723002,3035057.6150964387,731,77,731,5,10.533515731874145,100.0
170,FRIANT,16263.42,-186.3,8564.24084206962,3,0,3,1,0.0,100.0
171,FULLERTON,2101443.1000000024,0.0,1061435.577579185,180,20,180,1,11.11111111111111,100.0
172,FULTON,5679.283590000001,-82.67481000000001,2988.48903163274,3,0,3,1,0.0,100.0
173,GARBERVILLE,20410.4792,-122.267800178,6670.862372848966,62,0,62,2,0.0,100.0
174,GARDEN VALLEY,185.0,0.0,12.8399316662954,1,0,1,1,0.0,100.0
175,GARDENA,26293.307040000007,-15.118651545999999,84416.56208465838,16,0,16,1,0.0,100.0
176,GEORGETOWN,6140.94708,-28.82142,5053.3805467616485,7,0,7,2,0.0,100.0
177,GEYSERVILLE,93111.71766674999,-645.88934,31897.266299146395,13,0,13,1,0.0,100.0
178,GILROY,2779159.0060000005,-7600.82463,1773220.9287184274,95,23,95,3,24.210526315789473,100.0
179,GLEN ELLEN,58945.289573,-470.0663199999999,28555.85908240264,29,0,29,1,0.0,100.0
180,GOLD RUN,5783.8496,-8.480823834,3897.281934931439,5,5,5,1,100.0,100.0
181,GOLETA,120987.24472000002,-81.15253212200001,272199.78274142934,38,0,38,1,0.0,100.0
182,GONZALES,102710.78,-4.212,15273.977385589042,361,0,361,2,0.0,100.0
183,GRANITE BAY,3220.672,-19.367,5431.173093361839,5,0,5,1,0.0,100.0
184,GRASS VALLEY,749018.3656414999,-2171.4193904000003,514271.88788701023,207,55,207,4,26.570048309178745,100.0
185,GRATON,469.372,-10.9602,1235.1912278955892,12,0,12,1,0.0,100.0
186,GREENBRAE,278.02799999999996,-6.101999999999999,443.37905889412684,5,0,5,1,0.0,100.0
187,GREENFIELD,382413.85657999996,-1301.2181999999998,160964.86265104945,541,2,541,2,0.36968576709796674,100.0
188,GREENWOOD,185.0,0.0,12.8399316662954,1,0,1,1,0.0,100.0
189,GROVER BEACH,178879.28874400002,-1107.853237653,101869.03307019532,126,0,126,2,0.0,100.0
190,GUADALUPE,73000.0195,-52.13927982,29202.689652436016,270,0,270,2,0.0,100.0
191,GUALALA,4622.8,-15.925,3493.1428679067303,1,0,1,1,0.0,100.0
192,GUERNEVILLE,33654.989453999995,-73.02288,16502.99495993957,10,0,10,1,0.0,100.0
193,GUSTINE,149519.2052,-476.90904,88486.65877125267,285,0,285,2,0.0,100.0
194,HACIENDA HEIGHTS,90375.012,-1.62,41692.325536739176,4,0,4,1,0.0,100.0
195,HALF MOON BAY,55886.77600000001,-129.574,16365.991262640922,172,8,172,1,4.651162790697675,100.0
196,HANFORD,219271.72644799994,-759.4080031800003,773667.1890262662,132,0,132,3,0.0,100.0
197,HAWTHORNE,229756.95100800003,-80.767622828,601396.0486444792,18,0,18,1,0.0,100.0
198,HAYWARD,2455869.3804394454,-18886.621614632983,1705053.5442736228,1708,47,1708,3,2.75175644028103,100.0
199,HEALDSBURG,161181.06832,-1277.69053,50813.65597985357,24,0,24,1,0.0,100.0
200,HELM,163389.20400000003,0.0,124410.68653787642,10,0,10,1,0.0,100.0
201,HEMET,108889.10366319999,-105.77481163600002,51126.96948514896,50,0,50,1,0.0,100.0
202,HERCULES,263730.0727019999,-1650.63074,168411.3027894575,61,0,61,1,0.0,100.0
203,HERMOSA BEACH,597166.8693119999,-43.00241997,1079453.0657034116,96,72,96,1,75.0,100.0
204,HESPERIA,35751.162383999996,-79.095492,121764.02947549082,8,0,8,1,0.0,100.0
205,HOLLISTER,1613209.9427699996,-4683.5930800510005,938574.6784480826,2304,73,2304,3,3.1684027777777777,100.0
206,HONEYDEW,3631.455,-66.3255,3295.047976561369,1,1,1,1,100.0,100.0
207,HOOPA,18312.692000000003,-136.229393279,18332.02076841247,16,0,16,1,0.0,100.0
208,HUNTINGTON BEACH,3916699.095808,-235.9224937700002,2451292.03378144,158,0,158,1,0.0,100.0
209,HUNTINGTON PARK,103778.28,2767.68,22567.912828885397,6,0,6,1,0.0,100.0
210,HURON,4217.2,-0.062,2127.6793196056474,5,0,5,1,0.0,100.0
211,HYDESVILLE,14392.5188,-259.2297061,9400.824723801266,2,0,2,2,0.0,100.0
212,INDIAN WELLS,15609.420288,-2.6269512180000003,200337.19080000021,14,0,14,1,0.0,100.0
213,INGLEWOOD,362900.519424,-58.233239668,1711855.3945034842,104,0,104,1,0.0,100.0
214,INVERNESS,7071.75474,-38.55254000000001,4282.8994914635405,10,0,10,2,0.0,100.0
215,IONE,117771.43564,-895.2471500000001,89756.47295071633,19,0,19,1,0.0,100.0
216,IRVINE,1028597.8519999948,0.0,823751.9889018171,454,0,454,2,0.0,100.0
217,IRWINDALE,53081.15904000001,-78.92937561599999,88982.56824904736,10,0,10,1,0.0,100.0
218,ISLETON,346697.392726,-626.95233075,136127.09452717204,105,0,105,2,0.0,100.0
219,JACKSON,243215.506984,-1591.2884703170005,210977.54830453085,49,0,49,2,0.0,100.0
220,JAMESTOWN,8894.70188,-32.070930867,8761.571028208413,10,0,10,1,0.0,100.0
221,JUNE LAKE,9054.200000000003,-36.794,17631.399400972972,12,12,12,1,100.0,100.0
222,KELSEYVILLE,83140.27333000001,-712.811105821,69937.71934102762,24,0,24,1,0.0,100.0
223,KENSINGTON,38654.34036424,-494.9348,29711.904032515464,11,0,11,1,0.0,100.0
224,KENTFIELD,21736.372891999996,9.133959999999945,21581.9574716676,20,0,20,1,0.0,100.0
225,KENWOOD,26717.129589999997,-192.69991,13912.7102335829,16,0,16,1,0.0,100.0
226,KERMAN,91387.226,-438.41970000000003,27449.454097380807,243,0,243,2,0.0,100.0
227,KING CITY,1198210.5942400005,-3188.52106,627910.2342784677,617,52,617,3,8.427876823338735,100.0
228,KINGSBURG,102094.965,-74.34,17583.56895869093,443,0,443,2,0.0,100.0
229,KNEELAND,3905.739,-35.298,3065.479221088,1,0,1,1,0.0,100.0
230,KNIGHTS LANDING,6851.8,-0.128,5260.31515977343,3,0,3,1,0.0,100.0
231,LA GRANGE,740.0,0.0,51.3597266651816,4,0,4,1,0.0,100.0
232,LA HABRA,16414.2,115.2,177343.59783359602,2,0,2,1,0.0,100.0
233,LA PALMA,517539.19187199994,-13.251675323999999,416686.44021408015,14,0,14,1,0.0,100.0
234,LA SELVA BEACH,1227.0330000000001,-3.303,626.7039579857061,2,0,2,1,0.0,100.0
235,LAFAYETTE,58642.55500000006,-322.6909300000004,50398.183341408185,100,2,100,1,2.0,100.0
236,LAGUNITAS,12878.2368,-165.79728,8610.784488281673,9,0,9,1,0.0,100.0
237,LAKE ELSINORE,45011.199744,-39.190785984,258901.8474722905,18,0,18,1,0.0,100.0
238,LAKE SHERWOOD,583.30944,-0.867355776,1297.3278513075,2,0,2,1,0.0,100.0
239,LAKEHEAD,18337.328999999998,-10.989000164,22228.644529648936,3,0,3,1,0.0,100.0
240,LAKEPORT,332640.5221999999,-1010.5094137589997,276142.09419902315,60,5,60,2,8.333333333333332,100.0
241,LAKEWOOD,894854.6929120007,-41.884235141999994,578587.098186294,188,128,188,1,68.08510638297872,100.0
242,LAMONT,195101.87829999998,-1216.1186959200004,81125.132475589,50,0,50,1,0.0,100.0
243,LANCASTER,356412.95999999996,2628.0,119363.46582784803,8,0,8,1,0.0,100.0
244,LARKSPUR,204243.32470400003,-2062.0697094,107519.91701451091,59,0,59,2,0.0,100.0
245,LATHROP,162052.13399999996,-103.53210000000001,83907.66444180504,66,8,66,2,12.121212121212121,100.0
246,LATON,9009.884999999998,-38.853,3099.815518364823,6,6,6,1,100.0,100.0
247,LAWNDALE,76741.826112,-5.734035014,51524.47647338518,12,0,12,2,0.0,100.0
248,LAYTONVILLE,9436.3956,-57.15252077,5198.28486682566,1,0,1,1,0.0,100.0
249,LE GRAND,6734.21,0.0,4348.793788904362,6,0,6,2,0.0,100.0
250,LEMOORE,71359.0,0.0,4635.430723109039,354,0,354,1,0.0,100.0
251,LINCOLN,179791.36622000003,-182.15054,125289.31353416444,612,608,612,1,99.34640522875817,100.0
252,LINDEN,4926.474999999999,-20.935080000000003,5196.594564520541,10,0,10,1,0.0,100.0
253,LINDSAY,25760.713944,-89.35022404000001,516474.4911658871,14,0,14,1,0.0,100.0
254,LITTLEROCK,39186.36,-152.46,20693.90436919218,4,0,4,1,0.0,100.0
255,LIVE OAK,88710.0,0.0,5601.78561144359,424,0,424,1,0.0,100.0
256,LIVERMORE,311823.9396295,-1041.77409577,158903.01058620555,64,1,64,3,1.5625,100.0
257,LIVINGSTON,108230.7,0.0,106110.94304939556,355,95,355,3,26.76056338028169,100.0
258,LOCKEFORD,59742.55404,-27.682740000000006,33293.88181526942,6,0,6,1,0.0,100.0
259,LOLETA,26910.794799999996,-356.6029531899999,19397.09666723176,33,0,33,2,0.0,100.0
260,LOMPOC,53462.990000000005,-363.06,16381.08075116918,78,0,78,2,0.0,100.0
261,LONG BEACH,13606436.013090013,2610.3511160319963,6804435.103762396,2060,1804,2060,2,87.57281553398059,100.0
262,LOOMIS,160948.9534,-966.0416900000001,140994.0351993647,69,22,69,2,31.88405797101449,100.0
263,LOS ALTOS,157297.923,-1101.5910001749999,87197.97713837052,9,4,9,1,44.44444444444444,100.0
264,LOS ALTOS HILLS,31313.8,-98.92000000000003,13211.218649588063,8,8,8,1,100.0,100.0
265,LOS ANGELES,1041964.6882790802,0.0,6997098.2089077355,247,0,539,26,0.0,45.82560296846011
266,LOS BANOS,429352.388708,-914.148450423,310585.40385609935,31,0,31,2,0.0,100.0
267,LOS GATOS,710089.1319999999,-1090.3459999999995,463320.0571484055,1404,20,1404,1,1.4245014245014245,100.0
268,LOS MOLINOS,101356.92,0.0,45003.050413333396,1,0,1,1,0.0,100.0
269,LOS OLIVOS,370.0,0.0,27.864426152818197,2,0,2,1,0.0,100.0
270,LOS OSOS,120177.44189999998,-1098.5551084869996,60800.936502088545,93,0,93,2,0.0,100.0
271,LOST HILLS,42239.3013,-95.665053648,17663.68001376136,6,0,6,1,0.0,100.0
272,LOWER LAKE,44483.09022,-76.07214,31346.017765334575,8,0,8,1,0.0,100.0
273,LUCERNE,49195.549640000005,-413.98267000000004,31335.55205594136,6,0,6,1,0.0,100.0
274,LYNWOOD,233036.41345000008,158.6213966360001,286197.314092687,70,0,70,1,0.0,100.0
