,City,2016-2017,2017-2018,2018-2019,Total Tax Revenue,Average Tax Revenue
0,Adelanto,6407577.0,8379208,8842082.0,23628867.0,7876289.0
1,Agoura Hills,19346497.0,20776976,18491359.0,58614832.0,19538277.333333332
2,Alameda,82392105.0,104149055,95816394.0,282357554.0,94119184.66666667
3,Albany,18946529.0,19815521,18580640.0,57342690.0,19114230.0
4,Alhambra,48888081.0,54145658,51948185.0,154981924.0,51660641.333333336
5,Aliso Viejo,16869086.0,19013189,18681521.0,54563796.0,18187932.0
6,Alturas,1534805.0,1472951,1409116.0,4416872.0,1472290.6666666667
7,Amador,82711.0,102684,83985.0,269380.0,89793.33333333333
8,American Canyon,16937372.0,30838963,20560644.0,68336979.0,22778993.0
9,Anaheim,325443357.0,348255926,330526199.0,1004225482.0,334741827.3333333
10,Anderson,6949930.0,7908419,7709568.0,22567917.0,7522639.0
11,Angels,2809048.0,3151255,2870915.0,8831218.0,2943739.3333333335
12,Antioch,46733208.0,56914435,52357193.0,156004836.0,52001612.0
13,Apple Valley,26315541.0,26767977,28755697.0,81839215.0,27279738.333333332
14,Arcadia,49170035.0,52953359,50426132.0,152549526.0,50849842.0
15,Arcata,10919206.0,11935315,11339036.0,34193557.0,11397852.333333334
16,Arroyo Grande,14552411.0,14383619,14946433.0,43882463.0,14627487.666666666
17,Artesia,8206270.0,8573738,7394113.0,24174121.0,8058040.333333333
18,Arvin,4990479.0,5525217,5244275.0,15759971.0,5253323.666666667
19,Atascadero,19101715.0,20851518,20996122.0,60949355.0,20316451.666666668
20,Atherton,14333116.0,16512613,15276181.0,46121910.0,15373970.0
21,Atwater,10925131.0,12229862,12149222.0,35304215.0,11768071.666666666
22,Auburn,10781872.0,12617851,11041824.0,34441547.0,11480515.666666666
23,Avalon,9938943.0,12649099,9477892.0,32065934.0,10688644.666666666
24,Avenal,3310752.0,3618672,3336041.0,10265465.0,3421821.6666666665
25,Azusa,30384048.0,33818155,31758282.0,95960485.0,31986828.333333332
26,Bakersfield,167312217.0,202998974,177062601.0,547373792.0,182457930.66666666
27,Baldwin Park,26736389.0,31308266,29842593.0,87887248.0,29295749.333333332
28,Banning,10362297.0,11841315,10978780.0,33182392.0,11060797.333333334
29,Barstow,17369119.0,25584577,25043006.0,67996702.0,22665567.333333332
30,Beaumont,15720734.0,19131849,17306312.0,52158895.0,17386298.333333332
31,Bell,16560969.0,16663994,18542778.0,51767741.0,17255913.666666668
32,Bell Gardens,24829027.0,28072190,25791442.0,78692659.0,26230886.333333332
33,Bellflower,28146832.0,30592810,29220082.0,87959724.0,29319908.0
34,Belmont,17869497.0,34338437,31757606.0,83965540.0,27988513.333333332
35,Belvedere,5620632.0,6295299,6658760.0,18574691.0,6191563.666666667
36,Benicia,35930024.0,40290362,40600963.0,116821349.0,38940449.666666664
37,Berkeley,184922053.0,194538633,200290932.0,579751618.0,193250539.33333334
38,Beverly Hills,194096411.0,218115167,211905933.0,624117511.0,208039170.33333334
39,Big Bear Lake,13024399.0,21093573,18780564.0,52898536.0,17632845.333333332
40,Biggs,477957.0,535849,475245.0,1489051.0,496350.3333333333
41,Bishop,6134252.0,6723638,6301812.0,19159702.0,6386567.333333333
42,Blue Lake,541713.0,497205,453504.0,1492422.0,497474.0
43,Blythe,6282289.0,6254624,6450479.0,18987392.0,6329130.666666667
44,Bradbury,950240.0,904760,1032360.0,2887360.0,962453.3333333334
45,Brawley,10341531.0,11185716,10859128.0,32386375.0,10795458.333333334
46,Brea,43955647.0,50434867,44566862.0,138957376.0,46319125.333333336
47,Brentwood,40232319.0,44713555,45750480.0,130696354.0,43565451.333333336
48,Brisbane,14613302.0,19219601,14929038.0,48761941.0,16253980.333333334
49,Buellton,6784801.0,8475840,7711654.0,22972295.0,7657431.666666667
50,Buena Park,53030630.0,60583750,54755059.0,168369439.0,56123146.333333336
51,Burbank,124611488.0,136843569,131019749.0,392474806.0,130824935.33333333
52,Burlingame,65917535.0,73639921,65093241.0,204650697.0,68216899.0
53,Calabasas,23519568.0,24290541,27475186.0,75285295.0,25095098.333333332
54,Calexico,13922224.0,16492528,14477657.0,44892409.0,14964136.333333334
55,California City,9507883.0,11017282,9941217.0,30466382.0,10155460.666666666
56,Calimesa,4154895.0,5064576,4623157.0,13842628.0,4614209.333333333
57,Calipatria,851109.0,1070230,927584.0,2848923.0,949641.0
58,Calistoga,10421116.0,11545128,14473908.0,36440152.0,12146717.333333334
59,Camarillo,37491583.0,41720831,39454801.0,118667215.0,39555738.333333336
60,Campbell,37855239.0,42363924,40552761.0,120771924.0,40257308.0
61,Canyon Lake,4392397.0,5052819,4728093.0,14173309.0,4724436.333333333
62,Capitola,12529934.0,15594108,13509654.0,41633696.0,13877898.666666666
63,Carlsbad,132080967.0,152410210,138502647.0,422993824.0,140997941.33333334
64,Carmel-By-The-Sea,19130201.0,20829241,19623999.0,59583441.0,19861147.0
65,Carpinteria,9448635.0,10917083,10231891.0,30597609.0,10199203.0
66,Carson,63991006.0,78021632,66772081.0,208784719.0,69594906.33333333
67,Cathedral City,31134801.0,51648035,45733061.0,128515897.0,42838632.333333336
68,Ceres,15552448.0,19915379,18246152.0,53713979.0,17904659.666666668
