PrgID,ProgramName,Grouping,category,TotalFirstYearGrosskW,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalGrossIncentive,TotalGrossMeasureCost,TotalGrossMeasureCost_ER,TotalLifecycleGrosskW,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,rank_cost,group_cost
PGE210112,School Energy Efficiency,Education (),Other Education,171.051510223,2146258.37968593,97645.6640478201,887900.16901597,6205204.57,0,2051.791048206,26430405.3713612,448359.3069927,3,School Energy Efficiency
PGE210135,Water Infrastructure and System Efficiency,"",Uncategorized,17.810588486,604761.48,0,40180.4704753,999952.89,0,267.158827287,9071422.2,0,24,Non-top 10
PGE210139,SEI Energize Schools Program,Education (Higher Education UC/CSU/CCC),Higher Education,0,0,0,0,0,0,0,0,0,81.5,Non-top 10
PGE21025,California Wastewater Process Optimization,"",Uncategorized,31.86,279024.3,0,4870.998511,9742,0,477.9,4185364.5,0,56,Non-top 10
PGE2110011,California Community Colleges,Education (Higher Education CCC),Higher Education,567.636521339,1670630.2444,31181.36675844,555122.55030249,4498018.86,0,5631.04090336,17953505.2526,317471.683734976,6,California Community Colleges
PGE2110012,University of California/California State University,Education (Higher Education UC/CSU),Higher Education,379.4745,2745096.976,216353.536,826167.79289,5005184.75,26541.6,1975.9597,16051630.64,2344556.71,5,University of California/California State University
PGE2110013,State of California,State (),State,70.917602388,310779.54155,-236.2603635,69529.10999812,93635.75,0,770.223718208,3452304.7848,-3672.861816,43,Non-top 10
PGE2110014,Department of Corrections and Rehabilitation,State (Correctional Facilities),State,211.176,3178345.5,-926.55,838083.48271,3041900.16,0,2069.9568,35038034.928,-8661.096,9,Department of Corrections and Rehabilitation
PGE2110051,Local Government Energy Action Resources (LGEAR),Local Government (),Local Government,942.087898911,8115439.8856765,-25530.329383313,1436218.95255966,3859086.73,2783164.19,8918.663648021,87781418.510928,-252864.934996464,7,Local Government Energy Action Resources (LGEAR)
PGE2110052,Strategic Energy Resources,Local Government (),Local Government,0,0,0,0,0,0,0,0,0,81.5,Non-top 10
