city,total_population
Fresno,591168
Ontario,178589
Stockton,363335
Los Angeles,2484718
Modesto,300210
Bakersfield,557492
Gardena,79331
San Bernardino,278008
Riverside,464021
Selma,35199
Compton,136845
Lathrop,28172
San Diego,1335542
Glendale,188222
Colton,56431
Pomona,152251
Long Beach,476520
Bell,101415
March Air Reserve Base,4721
Fontana,221813
Parlier,9242
Sacramento,821850
Van Nuys,179670
Sun Valley,48393
North Hollywood,154252
Torrance,182791
El Monte,98427
South Gate,97229
Reedley,40225
Huntington Park,74249
Moreno Valley,204601
Paramount,54513
Inglewood,131234
Baldwin Park,75905
Bloomington,34906
Hawthorne,104391
Merced,110611
Turlock,78062
South El Monte,39515
Riverbank,16110
Rancho Cucamonga,176646
San Pedro,84077
Pacoima,106498
Carson,83730
Hanford,72726
Wilmington,55198
Oakland,407922
Norwalk,105858
Lynwood,69438
Corona,249129
MC Farland,30118
Pico Rivera,64247
Los Banos,43374
Oxnard,220161
Redlands,93523
Whittier,183516
El Centro,65394
Anaheim,347532
Manteca,83541
La Puente,116524
Porterville,75022
Ceres,44934
Delano,40423
Santa Fe Springs,20785
Montclair,47796
Madera,103572
Mendota,13415
Panorama City,72365
Montebello,65023
Perris,109675
Richmond,88242
Tulare,72613
Pittsburg,78759
Upland,79787
French Camp,6299
Buena Park,80669
Hacienda Heights,56972
Del Rey,3293
Burbank,105608
Fullerton,155957
Sanger,47464
Ballico,3918
West Sacramento,45454
Grand Terrace,18063
Barstow,31403
Garden Grove,190024
Dinuba,32347
Maywood,27332
San Jose,1047701
Adelanto,35179
Dos Palos,9043
Downey,112322
Calexico,40121
Wasco,27297
Pixley,5934
Kingsburg,16545
La Habra,64062
Santa Ana,369465
Gustine,8712
Indio,92025
McClellan,5067
San Francisco,874961
Bellflower,77195
Fowler,5177
Highland,45961
Atwater,40011
Rosemead,61315
Loma Linda,16018
Visalia,159505
Shafter,23656
Chowchilla,22300
Gilroy,62228
Earlimart,14978
Rialto,103564
Kettleman City,4101
Tracy,123469
San Pablo,63422
Orosi,9384
Chula Vista,249928
Kerman,22144
Lodi,87881
San Fernando,40260
Stanton,32441
Corcoran,23331
El Cajon,164462
National City,64048
Lost Hills,2635
Brawley,27089
Mira Loma,43481
Cantua Creek,6768
Vallejo,122876
Palo Alto,94562
La Mirada,48764
Caruthers,5068
Lawndale,32819
Olivehurst,28522
Harbor City,30013
Alhambra,84647
West Covina,104339
Strathmore,8019
Monterey Park,62542
Patterson,28730
Coachella,47636
Azusa,53463
Duarte,29214
Chico,109037
Emeryville,37271
Clovis,133683
Hemet,116515
Reseda,84394
Antioch,112354
Orange Cove,7179
Westminster,88853
Westmorland,2728
Santa Monica,91577
Lakewood,83312
