city,kWh,budget,claims,programs,obf,resource,dac,ces_score,ces_percentile,income,population,ruca,revenue,predicted_revenue,number,total_wa,perc_wa,total_ba,perc_ba,total_ia,perc_ia,total_aa,perc_aa,total_na,perc_na,total_mixed,perc_mixed,total_twoormoreraces,perc_twoormoreraces
ACAMPO,48664.72674,17684.56851,6,1,0,100,0,21.5314631,40.28250725,83913,9814,2,,-123910664.4,1,7697,0.78428775,21,0.0021398,38,0.00387202,290,0.02954962,11,0.00112085,618,0.06297127,1139,0.11605869
ADELANTO,13576.84423,27320.06323,4,1,0,100,0.5,35.90879867,68.45125489,45695.5,35179,1,23628867,23628867,2,22331,0.63478211,6505,0.18491145,155,0.00440604,602,0.01711248,66,0.00187612,3316,0.09426078,2204,0.06265101
ALAMO,73049.3926,48785.54268,15,1,88.04489588,100,0,2.175087916,0.4161937193,219750,9373,1,,-126124702.5,3,7975,0.85084818,5,0.00053345,18,0.00192041,973,0.10380881,10,0.00106689,117,0.01248266,275,0.02933959
ALBANY,153765.922,60926.19353,35,2,0,100,0,8.128605852,8.740068104,102361,16742,1,57342690,57342690,4,8516,0.50866085,554,0.03309043,115,0.00686895,4845,0.28939195,71,0.00424083,1190,0.07107872,1451,0.08666826
ALHAMBRA,21630.94939,48465.4476,7,1,0,100,0.15,33.70215145,66.14327153,59206,84647,1,154981924,154981924,5,19378,0.22892719,1894,0.02237528,400,0.00472551,43316,0.51172516,219,0.00258722,16936,0.20007797,2504,0.02958167
ALTA,185,12.83993167,1,1,0,100,0,11.76962086,16.93782318,75563,2932,2,,-158461707.8,6,2794,0.95293315,4,0.00136426,26,0.00886767,46,0.01568895,0,0,34,0.01159618,28,0.0095498
ALTADENA,21139.6,14367.50389,15,1,0,100,0,17.00764988,30.36952957,101875,37326,1,,14213181.32,7,18602,0.49836575,9652,0.25858651,331,0.00886781,2131,0.05709157,54,0.00144671,4594,0.12307775,1962,0.0525639
AMERICAN CANYON,246321.569,113629.6157,737,2,0,100,0,14.58399855,24.01311641,104042,13352,1,68336979,68336979,8,6106,0.45730977,805,0.06029059,138,0.01033553,4355,0.32616836,119,0.00891252,966,0.07234871,863,0.06463451
ANAHEIM,2843.648112,4105.068431,3,1,0,100,0.3666666667,34.96311183,68.35666541,66446,347532,1,1004225482,1004225482,9,230181,0.66233038,9071,0.02610119,1692,0.00486862,59408,0.17094253,1916,0.00551316,34037,0.09793918,11227,0.03230494
ANDERSON,153146.064,162295.5725,18,2,14.33681224,100,0,19.65311269,37.42590491,47839,23258,2,22567917,22567917,10,20297,0.87268897,231,0.00993207,616,0.02648551,459,0.01973514,13,0.00055895,766,0.0329349,876,0.03766446
ANGELS CAMP,34384.04703,18687.83465,8,2,0,100,0,16.31131717,28.56602346,54840,4483,7,,-150674920.8,11,4037,0.90051305,0,0,63,0.01405309,14,0.00312291,0,0,128,0.02855231,241,0.05375864
ANGWIN,12649.272,5444.59785,3,1,0,100,0,11.21272461,15.52528692,96705,5288,10,,-146633422.7,12,3751,0.70934191,291,0.05503026,19,0.00359304,573,0.10835855,15,0.00283661,426,0.08055976,213,0.04027988
ANTIOCH,1090279.854,755185.7001,401,2,75.68995326,100,0.05555555556,27.35417338,54.35742212,76397,112354,1,156004836,156004836,13,46174,0.4109689,23233,0.20678392,773,0.00688004,13400,0.11926589,1057,0.00940776,17973,0.1599676,9744,0.08672588
APPLE VALLEY,212224.59,206693.35,20,1,100,100,0,19.92653162,38.11325514,52921,80949,2,81839215,81839215,14,64269,0.79394434,6592,0.08143399,679,0.008388,1911,0.02360746,78,0.00096357,3159,0.03902457,4261,0.05263808
APTOS,344026.491,193663.2652,40,2,22.02401216,100,0,5.820021716,4.300668432,102500,31518,1,,-14945850.96,15,27891,0.8849229,247,0.00783679,185,0.00586966,1004,0.03185481,7,0.0002221,505,0.01602259,1679,0.05327115
ARBUCKLE,47268.9,45369.20434,2,1,0,100,0,27.46890061,54.74839198,65238,5647,7,,-144831065.2,16,5015,0.88808217,56,0.00991677,11,0.00194794,12,0.00212502,0,0,340,0.06020896,213,0.03771914
ARCADIA,72342.81,40843.1973,2,1,0,100,0,17.10420385,30.69113381,92807,69373,1,152549526,152549526,17,20391,0.2939328,1111,0.01601488,87,0.00125409,41869,0.60353452,127,0.00183068,3407,0.04911133,2381,0.03432171
ARCATA,582409.9204,587876.0012,451,2,2.829558836,100,0,24.23644209,48.22802371,39178,14499,4,34193557,34193557,18,10731,0.74012001,393,0.02710532,317,0.02186358,636,0.04386509,221,0.01524243,1235,0.08517829,966,0.06662528
ARNOLD,1858.72,1547.710454,4,1,0,100,0,10.51765879,14.38390718,64291,4664,10,,-149766211.3,19,4386,0.94039451,4,0.00085763,37,0.0079331,49,0.010506,5,0.00107204,145,0.03108919,38,0.00814751
ARROYO GRANDE,282692.1175,141893.2079,94,2,0,100,0,6.814271451,6.179846134,89204.5,25014,2,43882463,43882463,20,21821,0.87235148,272,0.01087391,320,0.01279284,867,0.03466059,88,0.00351803,572,0.02286719,1074,0.04293596
ARVIN,235985.1414,99105.11402,69,1,29.56813825,100,0.5,40.31055291,76.37785345,37428,22818,4,15759971,15759971,21,18740,0.82128144,129,0.00565343,88,0.0038566,181,0.00793233,0,0,3478,0.15242353,202,0.00885266
ATASCADERO,487560.5488,254199.3287,328,2,2.286541693,100,0,8.137025663,9.250851305,73061,25335,1,60949355,60949355,22,22651,0.8940596,258,0.01018354,284,0.01120979,412,0.01626209,12,0.00047365,550,0.0217091,1168,0.04610223
ATHERTON,1010,721.4905149,4,1,0,100,0,5.5779183,5.221339387,,7168,1,46121910,,23,5134,0.71623884,62,0.00864955,34,0.0047433,1486,0.20731027,24,0.00334821,87,0.01213728,341,0.04757254
ATWATER,388888.9852,519211.6338,1443,3,85.56285841,100,0.5,40.48984172,76.57333838,55891,40011,1,35304215,35304215,24,23285,0.58196496,1333,0.03331584,352,0.00879758,2145,0.05361026,219,0.00547349,10916,0.27282497,1761,0.0440129
AUBURN,215833.1616,222860.3327,152,3,9.113390282,100,0,13.28418307,20.82860386,76104.5,44187,3,34441547,34441547,25,40350,0.91316451,176,0.00398307,148,0.0033494,842,0.01905538,65,0.00147102,555,0.01256026,2051,0.04641637
BAKERSFIELD,15559277.6,6153282.742,18643,2,7.219449909,100,0.4945054945,38.59974028,73.91852693,53187,557492,1,547373792,547373792,26,398833,0.71540578,33475,0.0600457,6077,0.0109006,30348,0.05443666,1256,0.00225295,66967,0.1201219,20536,0.0368364
BALDWIN PARK,681793.8559,422768.9226,10,1,4.412623841,100,0.9411764706,53.14905383,91.66351368,66316,75905,1,87887248,87887248,27,32028,0.42194849,1166,0.01536131,1185,0.01561162,14605,0.19241157,362,0.00476912,21756,0.28662143,4803,0.06327646
BARSTOW,193153.7232,172943.9616,12,1,11.94360003,100,0.6666666667,46.05296177,84.12788498,41909.5,31403,4,67996702,67996702,28,21270,0.67732382,4660,0.14839347,515,0.01639971,669,0.0213037,342,0.01089068,1730,0.05509028,2217,0.07059835
BAYSIDE,6071.04315,7783.88752,41,1,0,100,0,12.01381501,17.59364359,61554,5229,4,,-146929631.9,29,4615,0.88257793,38,0.00726716,73,0.0139606,94,0.01797667,0,0,123,0.02352266,286,0.05469497
BELMONT,151204.076,116113.2491,10,2,0,100,0,8.604714339,10.00126119,143295,27359,1,83965540,83965540,30,17052,0.62326839,307,0.01122117,61,0.00222961,7506,0.27435213,257,0.00939362,668,0.0244161,1508,0.05511897
BEN LOMOND,17841.033,8335.549909,3,1,0,100,0,7.476653321,7.712195737,93123,8366,1,,-131180340.5,31,7638,0.91298111,37,0.00442266,44,0.00525938,93,0.01111642,0,0,160,0.01912503,394,0.04709539
BENICIA,429169.7766,241293.6881,117,3,40.43137769,100,0,14.40786172,23.50863917,104875,28681,1,116821349,116821349,32,20890,0.72835675,977,0.03406436,63,0.00219658,3415,0.11906837,68,0.00237091,918,0.03200725,2350,0.08193578
BERKELEY,836491.7125,557889.9229,387,3,2.462323583,100,0.02702702703,13.75509976,21.83755833,93105,132996,1,579751618,579751618,33,79240,0.59580739,9862,0.07415261,698,0.00524828,27428,0.20623177,584,0.00439111,4998,0.03758008,10186,0.07658877
BEVERLY HILLS,415702.0474,408832.0557,35,1,0,100,0,15.71375653,27.05259175,129977,40656,1,624117511,624117511,34,34132,0.83953168,840,0.02066116,71,0.00174636,3203,0.07878296,0,0,653,0.01606159,1757,0.04321625
BISHOP,4205.905568,59918.96966,6,1,68.7418027,100,0,11.68030389,16.67297263,66582,16336,8,19159702,19159702,35,13128,0.8036239,94,0.00575416,1596,0.09769833,350,0.02142507,11,0.00067336,505,0.03091332,652,0.03991185
BLUE LAKE,26643.8683,13781.31939,118,2,0,100,0,13.78548588,21.90692395,55000,3346,5,1492422,1492422,36,2735,0.8173939,3,0.00089659,207,0.06186491,31,0.00926479,16,0.00478183,77,0.02301255,277,0.08278542
BLYTHE,370829.52,91649.45262,13,1,86.41792656,100,0.1666666667,32.63407868,64.22625804,45481.5,14924,4,18987392,18987392,37,6582,0.44103458,1111,0.07444385,81,0.0054275,333,0.02231305,12,0.00080407,5467,0.3663227,1338,0.08965425
BOULDER CREEK,110122.7004,61971.34271,29,1,50.57901988,100,0,8.401874508,9.46525413,114562,10622,2,,-119854104.8,38,9189,0.86509132,55,0.00517793,61,0.0057428,328,0.03087931,72,0.00677838,181,0.01704011,736,0.06929015
BRADLEY,1465,72.4891886,5,1,0,100,0,22.00292932,42.98146046,55764,4462,10,,-150780351.2,39,3497,0.78372927,169,0.03787539,9,0.00201703,155,0.03473779,0,0,385,0.08628418,247,0.05535634
BREA,56907.36,27135.70352,1,1,0,100,0,23.80958589,47.13078572,92739,46522,1,138957376,138957376,40,31020,0.66678131,961,0.02065689,360,0.00773827,10708,0.23017067,80,0.00171962,1506,0.03237178,1887,0.04056145
BRENTWOOD,213533.707,171549.1583,955,2,53.0099574,100,0,23.64439284,46.69567411,122573.5,78554,2,130696354,130696354,41,51573,0.65652927,6548,0.08335667,753,0.00958576,7838,0.0997785,298,0.00379357,5542,0.07055019,6002,0.07640604
BRIDGEPORT,51932.95,111743.8738,29,1,100,100,0,13.79902457,21.95737167,61827,2444,10,,-160911709.2,42,1899,0.77700491,24,0.00981997,281,0.11497545,13,0.00531915,0,0,65,0.02659574,162,0.06628478
BRIDGEVILLE,7859.1214,7382.012316,4,1,0,100,0,12.52248763,19.03140371,54286,4179,5,,-152201151.2,43,3738,0.89447236,0,0,220,0.05264417,10,0.00239292,0,0,4,0.00095717,207,0.04953338
BRISBANE,309040.373,127604.295,58,1,30.84034941,100,0,36.76665277,71.38352882,113484,5051,1,48761941,48761941,44,2823,0.55889923,131,0.02593546,0,0,1673,0.33122154,0,0,147,0.02910315,277,0.05484063
BUENA PARK,208320.37,125532.6164,34,1,49.39361945,100,0.3076923077,26.66791535,53.31063186,89351,80669,1,168369439,168369439,45,39334,0.48759747,2517,0.03120158,739,0.00916089,25538,0.31657762,537,0.00665683,8553,0.10602586,3451,0.04277975
BURLINGAME,1331067.259,537631.799,920,3,33.97203785,100,0,8.766317428,10.36700719,129585,42760,1,204650697,204650697,46,25130,0.58769878,491,0.01148269,56,0.00130964,12456,0.29130028,84,0.00196445,1706,0.0398971,2837,0.06634705
BURNEY,8857.665,10321.75529,5,1,100,100,0,25.72248291,51.17921554,47408,4881,7,,-148676764,47,4235,0.86765007,51,0.01044868,169,0.03462405,88,0.01802909,0,0,122,0.02499488,216,0.04425323
BUTTONWILLOW,164338.9245,78305.35565,19,1,0,100,1,45.85231158,84.09635515,45781,3415,10,,-156036809,48,3024,0.88550512,13,0.00380673,0,0,0,0,0,0,316,0.09253294,62,0.0181552
CALISTOGA,212789.1145,88825.42097,271,2,0,100,0,10.98977817,15.38655568,85226,6684,8,36440152,36440152,49,5855,0.87597247,0,0,98,0.01466188,160,0.02393776,18,0.002693,464,0.06941951,89,0.01331538
CAMARILLO,26280.54116,49969.76758,9,1,0,100,0,14.92997166,24.94639929,105452,79627,1,118667215,118667215,50,62030,0.77900712,1545,0.01940297,471,0.00591508,7961,0.09997865,151,0.00189634,2341,0.02939958,5128,0.06440027
CAMBRIA,50718.60659,19600.02681,80,2,0,100,0,3.425983514,1.324252743,74036,8388,8,,-131069889.6,51,7547,0.89973772,39,0.0046495,26,0.00309967,282,0.03361946,0,0,382,0.04554125,112,0.01335241
CAMINO,4154.83416,3354.113981,2,1,0,100,0,10.91082467,14.98297389,90795,3495,4,,-155635169.4,52,3023,0.86494993,1,0.00028612,26,0.0074392,117,0.03347639,14,0.00400572,147,0.04206009,167,0.04778255
CAMPBELL,473185.0184,338893.2557,565,2,6.191652892,100,0,13.65427689,21.63576744,130811.5,44176,1,120771924,120771924,53,28814,0.65225462,1311,0.02967675,271,0.00613455,9233,0.20900489,283,0.00640619,1968,0.04454908,2296,0.05197392
CANYON COUNTRY,31891.44,23534.47676,3,2,0,100,0,23.84940071,47.28212889,85637,73789,2,,197275473.7,54,50523,0.68469555,3445,0.04668718,957,0.01296941,7469,0.10122105,18,0.00024394,6742,0.09136863,4635,0.06281424
CAPITOLA,351178.63,154072.8939,26,1,28.99466604,100,0,11.75383783,16.93782318,76519,11739,1,41633696,41633696,55,9926,0.84555754,71,0.00604822,67,0.00570747,429,0.03654485,15,0.00127779,480,0.04088934,751,0.06397478
CARMEL,157141.538,90717.01788,38,1,32.55874154,100,0,1.932289014,0.3405221339,99337,21923,4,,-63117496.06,56,19243,0.87775396,115,0.00524563,93,0.00424212,1246,0.05683529,222,0.01012635,297,0.01354742,707,0.03224924
CARMEL VALLEY,30851.149,19611.902,7,1,0,100,0,14.36136776,24.99054105,73199,11768,3,,-114100618.1,57,7387,0.62771924,63,0.0053535,100,0.00849762,57,0.00484364,0,0,3871,0.3289429,290,0.0246431
CARPINTERIA,4805.7264,10809.52602,4,1,0,100,0,21.08537881,41.02661117,72540,13619,1,30597609,30597609,58,9993,0.73375431,63,0.00462589,186,0.01365739,330,0.02423085,0,0,2520,0.18503561,527,0.03869594
CARSON,931403.6923,472207.048,109,2,35.83050645,100,0.7777777778,46.60398634,84.84676504,79687.5,83730,1,208784719,208784719,59,20969,0.25043593,20837,0.24885943,598,0.007142,23553,0.28129703,2191,0.02616744,11453,0.1367849,4129,0.04931327
CARUTHERS,23185.278,10472.4804,2,1,0,100,1,47.89711325,86.61874133,45587,5068,2,,-147737931.5,60,3104,0.6124704,8,0.00157853,0,0,306,0.06037885,0,0,1450,0.28610892,200,0.0394633
CASTAIC,90940.26,52234.364,20,1,0,100,0,14.49858258,23.75457182,120072.5,30663,2,,-19238373.79,61,21093,0.68789747,1912,0.06235528,539,0.01757819,2356,0.07683527,94,0.00306558,2750,0.08968464,1919,0.06258357
CASTRO VALLEY,324351.0194,224983.1643,91,2,0,100,0,12.27988286,18.31882961,123005.5,68146,1,,168944823,62,36828,0.5404279,4273,0.06270361,525,0.00770405,19778,0.2902298,286,0.00419687,1724,0.02529862,4732,0.06943915
CASTROVILLE,206877.143,122974.9242,24,2,0,100,0,31.32869974,61.83629714,66063,15986,2,,-92924172.14,63,7831,0.48986613,224,0.01401226,29,0.00181409,670,0.04191167,83,0.00519204,6788,0.42462154,361,0.02258226
CAYUCOS,18655.46744,13042.57852,11,2,0,100,0,7.285554977,7.062681297,64246,2630,2,,-159977897.2,64,2502,0.9513308,0,0,0,0,43,0.01634981,0,0,47,0.01787072,38,0.01444867
CAZADERO,352.748,377.104511,4,1,0,100,0,3.98585298,3.077311136,70517.5,3983,6,,-153185168.1,65,3438,0.86316847,0,0,118,0.02962591,119,0.02987698,5,0.00125534,189,0.04745167,114,0.02862164
CERRITOS,8785.8,2267.63522,3,1,100,100,0,25.35303137,50.48555934,106354,50143,1,158028704,158028704,66,9937,0.19817322,4334,0.0864328,172,0.00343019,29655,0.59140857,267,0.00532477,2790,0.05564087,2988,0.05958957
CHATSWORTH,1377.6,842.5557076,1,1,0,100,0,23.30719819,45.8569807,91544,47215,1,,63860851.81,67,27376,0.57981574,2521,0.05339405,163,0.00345229,7542,0.15973737,137,0.00290162,7410,0.15694165,2066,0.04375728
CHICO,1541790.982,1293355.724,4523,5,16.25304024,100,0.04347826087,19.49668227,37.04124101,50488,109037,1,162340118,162340118,68,89791,0.82349111,2072,0.01900272,682,0.00625476,5105,0.04681897,402,0.00368682,5581,0.05118446,5404,0.04956116
CHOWCHILLA,461350.782,198932.8769,336,2,7.861166601,100,0.6666666667,45.63000063,83.78105688,73060,22300,7,19055065,19055065,69,13983,0.62704036,1555,0.06973094,588,0.02636771,784,0.03515695,56,0.00251121,4255,0.19080717,1079,0.04838565
