,SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget
0,ACAMPO,48664.72674,-148.89033,583976.72088,-1786.6839599999998,17684.56850862034,6,1,0.0,100.0
1,ADELANTO,13576.844232000001,-30.037266,67884.22116,-150.18633000000003,27320.063231079836,4,1,0.0,100.0
2,ALAMO,73049.39259999999,118.64523999999994,684999.97629,-1279.097025,48785.5426833944,15,1,88.04489588116499,100.0
3,ALBANY,153765.92200000002,-785.07633444,842200.6074000001,-4288.070280100001,60926.19352823323,35,2,0.0,100.0
4,ALHAMBRA,21630.949392000002,-32.172462416,120233.35022400001,-178.879938,48465.44760118646,7,1,0.0,100.0
5,ALTA,185.0,0.0,2220.0,0.0,12.8399316662954,1,1,0.0,100.0
6,ALTADENA,21139.6,0.0,253675.2,0.0,14367.503893547711,15,1,0.0,100.0
7,AMERICAN CANYON,246321.56896000003,-390.57183000000003,2569735.0669508,-3193.5306357,113629.61569686409,737,2,0.0,100.0
8,ANAHEIM,2843.648112,-1.6353152910000002,14302.668959999999,-8.226646164000002,4105.06843057128,3,1,0.0,100.0
9,ANDERSON,153146.06399999998,-137.86500238399998,1627538.6715000002,-1050.015401858,162295.57250721753,18,2,14.336812236543494,100.0
10,ANGELS CAMP,34384.047026,-285.90726,367388.0150384,-3469.583328,18687.83465337712,8,2,0.0,100.0
11,ANGWIN,12649.271999999999,-112.63211,123444.92880000001,-1114.6920417000001,5444.597849844852,3,1,0.0,100.0
12,ANTIOCH,1090279.8541159998,-1526.2517004300012,12105645.502705997,-16843.510686299982,755185.7000740556,401,2,75.68995325730575,100.0
13,APPLE VALLEY,212224.59000000003,-220.07699999999997,2514589.7183999997,-2640.924,206693.35003398097,20,1,100.0,100.0
14,APTOS,344026.4910000001,-3084.893000000001,2726986.2614299995,-24017.0951,193663.26518843794,40,2,22.02401216445574,100.0
15,ARBUCKLE,47268.9,0.0,224039.088,0.0,45369.20434260137,2,1,0.0,100.0
16,ARCADIA,72342.81,0.0,868113.72,0.0,40843.1973017146,2,1,0.0,100.0
17,ARCATA,582409.920379,-1503.7109731700004,5108532.130400919,-13099.61364446201,587876.0012114533,451,2,2.8295588362770614,100.0
18,ARMONA,1900.193904,-6.590762640000001,9500.969519999999,-32.9538132,7837.695728930872,2,1,0.0,100.0
19,ARNOLD,1858.7199999999998,-12.782340000000001,16991.487999999998,-119.529936,1547.710453935579,4,1,0.0,100.0
20,AROMAS,61619.141,-311.125,622569.0721100002,-3174.62926,40748.69540591155,7,1,0.0,100.0
21,ARROYO GRANDE,282692.1174599999,-1218.98604706,3238651.5253675007,-15423.245369839995,141893.20786205024,94,2,0.0,100.0
22,ARVIN,235985.14137,-1118.2189301050003,2525115.5240569995,-12564.761510772998,99105.11401967792,69,1,29.56813824972973,100.0
23,ATASCADERO,487560.548833,-2199.8578935620008,5412426.591695801,-26667.468217822006,254199.32869633767,328,2,2.286541693391403,100.0
24,ATHERTON,1010.0,0.0,12120.0,0.0,721.490514949886,4,1,0.0,100.0
25,ATWATER,388888.98519999994,-143.42904103,4587367.5444,-1095.3018051,519211.63380537485,1443,3,85.5628584103576,100.0
26,AUBURN,215833.16163999998,-1196.4284196370004,2183727.1615903997,-12870.442290489998,222860.33270627292,152,3,9.11339028204591,100.0
27,AVILA BEACH,15711.72032,-13.54369,149714.36966040003,-133.4039943,7001.948021230503,34,2,0.0,100.0
28,BAKERSFIELD,15071711.350453647,-47685.54878544011,154592563.85288602,-501341.3494702535,5958405.849216859,18480,2,7.438344234748517,100.0
29,BAKERSIFELD,4681.399999999995,0.0,56176.800000000054,0.0,1062.96861515541,75,1,97.81078818728484,100.0
30,BALBOA,7175.0,0.0,86100.0,0.0,4081.858160108138,3,1,100.0,100.0
31,BALDWIN PARK,681793.8559400002,-23.228871876,8072173.979699999,-116.14435938,422768.92262032133,10,1,4.412623840531839,100.0
32,BANTA,51475.5,0.0,368614.8,0.0,14839.8038306952,1,1,0.0,100.0
33,BARSTOW,193153.72319999998,-61.421850000000006,889673.238,-307.10925000000003,172943.96164696192,12,1,11.943600025162125,100.0
34,BAY POINT,49620.718547000004,-622.20315,574754.9838999999,-7096.680200000003,45875.80975605724,65,1,0.0,100.0
35,BAYSIDE,6071.04315,-122.33528600000004,78559.3503,-1647.1424600000005,7783.8875199740705,41,1,0.0,100.0
36,BELMONT,151204.07599999997,0.0,1625603.909,0.0,116113.24914964261,10,2,0.0,100.0
37,BELVEDERE,7369.280000000001,-44.849,51787.840000000004,-333.2452,5473.690049386841,7,1,0.0,100.0
38,BEN LOMOND,17841.033,-166.905,124730.48601000001,-851.2806599999999,8335.549908928033,3,1,0.0,100.0
39,BENICIA,429169.77662000014,-2066.559693155,4106471.2344716,-18644.267501649996,241293.68808353832,117,3,40.43137769282824,100.0
40,BENTON,3726.9,-12.231,43936.83,-146.77200000000005,6794.866514691903,3,1,100.0,100.0
41,BERKELEY,836491.7124962995,-5193.810612137001,8176895.297505199,-58562.811005535994,557889.922936303,387,3,2.462323582619803,100.0
42,BETHEL ISLAND,6215.408316,-75.43593,64640.2464864,-784.533672,5797.642936258272,2,1,0.0,100.0
43,BEVERLY HILLS,415702.04736,-0.7483069440000001,4735782.556799999,-3.7415347199999998,408832.0557123836,35,1,0.0,100.0
44,BISHOP,4205.905568,-30.413515983999996,58325.54956800001,-421.760689872,59918.969655676025,6,1,68.74180269903589,100.0
45,BLUE LAKE,26643.868300000002,-86.91884847,286190.87613999995,-627.3821124,13781.319390154538,118,2,0.0,100.0
46,BLYTHE,370829.52,0.0,5387171.49,0.0,91649.45262033332,13,1,86.41792655524989,100.0
47,BODEGA BAY,10132.733844,-79.20504,121592.80613,-950.46048,5087.608584548454,3,1,0.0,100.0
48,BOONVILLE,35829.170794,-492.05043,469451.0791336,-6443.110872,21367.7704630503,3,1,0.0,100.0
49,BOULDER CREEK,110122.70037600001,-725.8075600000002,873304.8980147,-6480.776145199999,61971.34270607802,29,1,50.579019881492535,100.0
50,BRADLEY,1465.0,0.0,17580.0,0.0,72.48918860066381,5,1,0.0,100.0
51,BREA,56907.36,0.0,187794.288,0.0,27135.703524635097,1,1,0.0,100.0
52,BRENTWOOD,213533.7070000013,-158.95487156000004,2044249.3418979875,-3062.027382200001,171549.1583232353,955,2,53.00995739849722,100.0
53,BRIDGEPORT,51932.95000000001,-320.4469,612469.906,-3822.4133,111743.8737534378,29,1,100.0,100.0
54,BRIDGEVILLE,7859.1214,28.4714,85884.23856000003,283.97328,7382.012315859684,4,1,0.0,100.0
55,BRISBANE,309040.37299999996,-785.4254000000001,2611663.19781,-6367.17147,127604.29497247463,58,1,30.840349408413132,100.0
56,BROOKDALE,41170.0,0.0,205850.0,0.0,21714.0032833565,1,1,0.0,100.0
57,BROWNS VALLEY,370.0,0.0,4440.0,0.0,25.6798633325908,2,1,0.0,100.0
