city,County,RUCA code
ACAMPO,SAN JOAQUIN,3
ACAMPO,SAN JOAQUIN,1
ACTON,LOS ANGELES,2
ADELANTO,SAN BERNARDINO,1
AGOURA HILLS,LOS ANGELES,2
AGOURA HILLS,LOS ANGELES,1
AGOURA HILLS,VENTURA,1
ALAMEDA,ALAMEDA,1
ALAMO,CONTRA COSTA,1
ALBANY,ALAMEDA,1
ALHAMBRA,LOS ANGELES,1
ALISO VIEJO,ORANGE,1
ALPINE,SAN DIEGO,2
ALPINE,SAN DIEGO,1
ALTA,PLACER,2
ALTADENA,LOS ANGELES,1
ALTURAS,MODOC,7
ALVISO,SANTA CLARA,1
AMERICAN CANYON,NAPA,1
ANAHEIM,ORANGE,1
ANDERSON,SHASTA,2
ANDERSON,SHASTA,1
ANGELS CAMP,CALAVERAS,7
ANGELUS OAKS,SAN BERNARDINO,2
ANGWIN,NAPA,10
ANTELOPE,SACRAMENTO,1
ANTIOCH,CONTRA COSTA,1
ANZA,RIVERSIDE,3
APPLE VALLEY,SAN BERNARDINO,1
APPLE VALLEY,SAN BERNARDINO,3
APPLEGATE,PLACER,2
APTOS,SANTA CRUZ,1
ARBUCKLE,COLUSA,7
ARCADIA,LOS ANGELES,1
ARCATA,HUMBOLDT,4
ARNOLD,CALAVERAS,10
ARROYO GRANDE,SAN LUIS OBISPO,1
ARROYO GRANDE,SAN LUIS OBISPO,3
ARTESIA,LOS ANGELES,1
ARVIN,KERN,4
ATASCADERO,SAN LUIS OBISPO,1
ATHERTON,SAN MATEO,1
ATWATER,MERCED,1
AUBURN,PLACER,2
AUBURN,PLACER,4
AVALON,LOS ANGELES,7
AVALON,LOS ANGELES,2
AVENAL,KINGS,4
AZUSA,LOS ANGELES,1
BAKER,SAN BERNARDINO,6
BAKERSFIELD,KERN,1
BALDWIN PARK,LOS ANGELES,1
BALLICO,MERCED,1
BANNING,RIVERSIDE,2
BANNING,RIVERSIDE,1
BARSTOW,SAN BERNARDINO,4
BAYSIDE,HUMBOLDT,4
BEAUMONT,RIVERSIDE,1
BELL,LOS ANGELES,1
BELLFLOWER,LOS ANGELES,1
BELMONT,SAN MATEO,1
BELVEDERE TIBURON,MARIN,1
BEN LOMOND,SANTA CRUZ,1
BENICIA,SOLANO,1
BERKELEY,CONTRA COSTA,1
BERKELEY,ALAMEDA,1
BERRY CREEK,BUTTE,5
BEVERLY HILLS,LOS ANGELES,1
BIG BAR,TRINITY,10
BIG BEAR CITY,SAN BERNARDINO,2
BIG BEAR CITY,SAN BERNARDINO,4
BIG BEAR LAKE,SAN BERNARDINO,4
BIGGS,BUTTE,10
BISHOP,INYO,7
BISHOP,INYO,8
BISHOP,MONO,8
BLAIRSDEN-GRAEAGLE,PLUMAS,10
BLOCKSBURG,HUMBOLDT,10
BLOOMINGTON,SAN BERNARDINO,1
BLUE LAKE,HUMBOLDT,5
BLYTHE,RIVERSIDE,4
BLYTHE,RIVERSIDE,5
BONITA,SAN DIEGO,1
BONSALL,SAN DIEGO,1
BORON,KERN,10
BORREGO SPRINGS,SAN DIEGO,10
BOULDER CREEK,SANTA CRUZ,2
BOULDER CREEK,SANTA CRUZ,1
BRADLEY,MONTEREY,10
BRAWLEY,IMPERIAL,4
BRAWLEY,IMPERIAL,2
BREA,ORANGE,1
BRENTWOOD,CONTRA COSTA,3
BRENTWOOD,CONTRA COSTA,1
BRIDGEPORT,MONO,10
BRIDGEVILLE,HUMBOLDT,5
BRISBANE,SAN MATEO,1
BUENA PARK,ORANGE,1
BURBANK,LOS ANGELES,99
BURBANK,LOS ANGELES,1
BURLINGAME,SAN MATEO,1
BURNEY,SHASTA,7
BUTTONWILLOW,KERN,10
CALABASAS,LOS ANGELES,1
CALEXICO,IMPERIAL,1
CALIENTE,KERN,3
CALIFORNIA CITY,KERN,10
CALIFORNIA HOT SPRINGS,TULARE,7
CALIMESA,RIVERSIDE,1
CALIPATRIA,IMPERIAL,3
CALIPATRIA,IMPERIAL,2
CALISTOGA,NAPA,10
CALISTOGA,NAPA,7
CALPINE,SIERRA,10
CAMARILLO,VENTURA,1
CAMBRIA,SAN LUIS OBISPO,7
CAMBRIA,SAN LUIS OBISPO,10
CAMINO,EL DORADO,4
CAMP PENDLETON,SAN DIEGO,1
CAMPBELL,SANTA CLARA,1
CAMPO,SAN DIEGO,2
CANOGA PARK,LOS ANGELES,1
CANTUA CREEK,FRESNO,7
CANYON COUNTRY,LOS ANGELES,2
CAPISTRANO BEACH,ORANGE,1
CAPITOLA,SANTA CRUZ,1
CARDIFF BY THE SEA,SAN DIEGO,1
CARLSBAD,SAN DIEGO,1
CARMEL,MONTEREY,1
CARMEL,MONTEREY,2
CARMEL,MONTEREY,10
CARMEL VALLEY,MONTEREY,4
CARMEL VALLEY,MONTEREY,2
CARMICHAEL,SACRAMENTO,1
CARNELIAN BAY,PLACER,4
CARPINTERIA,SANTA BARBARA,1
CARSON,LOS ANGELES,99
CARSON,LOS ANGELES,1
CARUTHERS,FRESNO,2
CASSEL,SHASTA,10
CASTAIC,LOS ANGELES,2
CASTRO VALLEY,ALAMEDA,1
CASTROVILLE,MONTEREY,2
CASTROVILLE,MONTEREY,1
CATHEDRAL CITY,RIVERSIDE,1
