city,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,Average Tax Revenue,median_household_income_usd,total_population
ACAMPO,0.0,21.531463100503803,40.2825072518603,,,83913.0,9814
ACTON,0.0,14.5132218907107,24.063564131668603,,,105263.0,7865
ADELANTO,0.5,35.9087986728929,68.4512548871233,23628867.0,7876289.0,45695.5,35179
AGOURA HILLS,0.0,8.96739616523767,10.8273426661622,58614832.0,19538277.33333333,128054.5,40671
ALAMEDA,0.0,20.5969282920388,39.7969479127255,282357554.0,94119184.66666669,101246.5,78522
ALAMO,0.0,2.17508791607944,0.41619371925841897,,,219750.0,9373
ALBANY,0.0,8.12860585201837,8.74006810442679,57342690.0,19114230.0,102361.0,16742
ALHAMBRA,0.15,33.7021514496415,66.143271534872,154981924.0,51660641.33333334,59206.0,84647
ALISO VIEJO,0.0,8.23165766323697,9.093202169252109,54563796.0,18187932.0,108687.0,48782
ALPINE,0.0,11.327196983094499,15.8973388825829,,,100290.0,19359
ALTA,0.0,11.7696208617841,16.937823180729,,,75563.0,2932
ALTADENA,0.0,17.0076498779497,30.3695295749779,,,101875.0,37326
ALTURAS,0.0,22.217337601565898,43.4481019044016,4416872.0,1472290.666666667,34423.0,3509
ALVISO,1.0,44.5241671921009,82.2802371043007,,,95500.0,2355
AMERICAN CANYON,0.0,14.5839985533791,24.0131164081221,68336979.0,22778993.0,104042.0,13352
ANAHEIM,0.3666666666666671,34.963111826092,68.3566654054736,1004225482.0,334741827.3333333,66446.0,347532
ANDERSON,0.0,19.653112693506998,37.425904906041104,22567917.0,7522639.0,47839.0,23258
ANGELS CAMP,0.0,16.31131716697,28.5660234581914,,,54840.0,4483
ANGELUS OAKS,0.0,23.9337691382687,47.4839197881196,,,67708.0,2125
ANGWIN,0.0,11.2127246079821,15.525286921427698,,,96705.0,5288
ANTELOPE,0.0,16.760247961956402,29.8082986505234,,,77566.0,47668
ANTIOCH,0.0555555555555556,27.3541733760503,54.3574221213268,156004836.0,52001612.0,76397.0,112354
ANZA,0.0,16.2523706339659,28.427292218438602,,,50674.0,5266
APPLE VALLEY,0.0,19.9265316182275,38.1132551393618,81839215.0,27279738.33333333,52921.0,80949
APPLEGATE,0.0,6.5857775633830595,5.81410013873124,,,72542.0,3350
APTOS,0.0,5.82002171629617,4.30066843233699,,,102500.0,31518
ARBUCKLE,0.0,27.4689006062817,54.748391978811995,,,65238.0,5647
ARCADIA,0.0,17.1042038452571,30.6911338125868,152549526.0,50849842.0,92807.0,69373
ARCATA,0.0,24.236442091366,48.2280237104301,34193557.0,11397852.333333336,39178.0,14499
ARNOLD,0.0,10.5176587939106,14.3839071761887,,,64291.0,4664
ARROYO GRANDE,0.0,6.81427145097733,6.17984613444319,43882463.0,14627487.666666664,89204.5,25014
ARTESIA,0.33333333333333304,35.6076651535796,69.4917391852693,24174121.0,8058040.333333332,68079.0,16758
ARVIN,0.5,40.31055290513329,76.3778534493631,15759971.0,5253323.666666667,37428.0,22818
ATASCADERO,0.0,8.137025663102419,9.25085130533483,60949355.0,20316451.666666668,73061.0,25335
ATHERTON,0.0,5.577918300126849,5.22133938706016,46121910.0,15373970.0,,7168
ATWATER,0.5,40.48984172452629,76.5733383781057,35304215.0,11768071.666666664,55891.0,40011
AUBURN,0.0,13.2841830733288,20.828603859250897,34441547.0,11480515.666666664,76104.5,44187
AVALON,0.0,17.048965503077,30.5082608147307,32065934.0,10688644.666666666,74028.0,4167
AVENAL,0.5,39.6326508283584,75.45718249463991,10265465.0,3421821.666666666,40523.0,12987
AZUSA,0.307692307692308,34.5535797850558,67.54950182873,95960485.0,31986828.33333333,68537.0,53463
BAKER,1.0,40.7848670727529,77.2228528187666,,,52975.0,3547
BAKERSFIELD,0.49450549450549497,38.599740277968294,73.91852692647241,547373792.0,182457930.66666663,53187.0,557492
BALDWIN PARK,0.941176470588235,53.1490538252542,91.66351368394501,87887248.0,29295749.33333333,66316.0,75905
BALLICO,1.0,55.1368083122297,93.3787362845252,,,61379.0,3918
BANNING,0.0,27.921377456568198,55.782570311514704,33182392.0,11060797.333333334,40254.0,31334
BARSTOW,0.666666666666667,46.052961769380296,84.1278849791903,67996702.0,22665567.33333333,41909.5,31403
BAYSIDE,0.0,12.0138150115219,17.593643586833103,,,61554.0,5229
BEAUMONT,0.111111111111111,26.883818030975398,53.6385420607895,52158895.0,17386298.333333332,65565.0,45822
BELL,1.0,57.7873084604887,95.18854836675501,51767741.0,17255913.666666668,44196.5,101415
BELLFLOWER,0.7777777777777779,43.7010551879948,81.1577752553916,87959724.0,29319908.0,56488.0,77195
BELMONT,0.0,8.60471433916458,10.0012611930887,83965540.0,27988513.33333333,143295.0,27359
BELVEDERE TIBURON,0.0,4.9491834328571,3.08992306722159,,,159963.0,13729
BEN LOMOND,0.0,7.476653321475821,7.71219573716737,,,93123.0,8366
BENICIA,0.0,14.4078617151123,23.5086391726573,116821349.0,38940449.66666666,104875.0,28681
BERKELEY,0.027027027027027,13.755099758122098,21.837558330180396,579751618.0,193250539.3333333,93105.0,132996
BERRY CREEK,0.0,21.2292654504762,41.480640686089004,,,40071.0,4660
BEVERLY HILLS,0.0,15.7137565328316,27.0525917517972,624117511.0,208039170.3333333,129977.0,40656
BIG BAR,0.0,8.09155514927329,8.57611300290074,,,45109.0,2011
BIG BEAR CITY,0.0,14.6202158629484,24.145541682431602,,,59792.0,17386
BIG BEAR LAKE,0.0,30.3159740909936,60.070626812965095,52898536.0,17632845.333333332,35556.0,3518
BIGGS,0.0,27.2550782419762,54.3321982595535,1489051.0,496350.33333333326,65625.0,4202
BISHOP,0.0,11.680303891974,16.67297263211,19159702.0,6386567.333333332,66582.0,16336
BLAIRSDEN-GRAEAGLE,0.0,9.267618091789991,11.413797452389998,,,67121.0,1359
BLOCKSBURG,0.0,15.388345521797199,26.056249211754302,,,35163.0,3465
BLOOMINGTON,0.7142857142857142,46.88939090724,85.33232437886241,,,56417.0,34906
BLUE LAKE,0.0,13.785485884885,21.9069239500568,1492422.0,497474.0,55000.0,3346
BLYTHE,0.166666666666667,32.6340786777761,64.226258040106,18987392.0,6329130.666666668,45481.5,14924
BONITA,0.0,15.441074101665,26.2580401059402,,,99974.0,27241
BONSALL,0.0,15.046401290697698,25.2112498423509,,,82250.0,4841
BORON,0.0,25.7626319440662,51.2801109849918,,,51181.0,2221
BORREGO SPRINGS,0.0,23.8727648543996,47.3325766174801,,,45952.0,2706
BOULDER CREEK,0.0,8.4018745080666,9.46525413040736,,,114562.0,10622
BRADLEY,0.0,22.002929316529396,42.9814604615967,,,55764.0,4462
BRAWLEY,0.8,40.807800678283,77.2354647496532,32386375.0,10795458.333333334,47188.0,27089
BREA,0.0,23.8095858896062,47.130785723294295,138957376.0,46319125.33333334,92739.0,46522
BRENTWOOD,0.0,23.644392841458696,46.6956741077059,130696354.0,43565451.333333336,122573.5,78554
BRIDGEPORT,0.0,13.7990245749186,21.957371673603202,,,61827.0,2444
BRIDGEVILLE,0.0,12.522487628619098,19.0314037079077,,,54286.0,4179
BRISBANE,0.0,36.7666527696717,71.38352881826209,48761941.0,16253980.333333336,113484.0,5051
BUENA PARK,0.307692307692308,26.667915347709698,53.3106318577374,168369439.0,56123146.33333334,89351.0,80669
BURBANK,0.32,30.600463594068998,60.638163702863,392474806.0,130824935.33333331,76235.5,105608
BURLINGAME,0.0,8.76631742804852,10.3670071888006,204650697.0,68216899.0,129585.0,42760
BURNEY,0.0,25.722482910550898,51.1792155378988,,,47408.0,4881
BUTTONWILLOW,1.0,45.852311580753096,84.0963551519738,,,45781.0,3415
CALABASAS,0.0,11.009133440971802,15.430697439778,75285295.0,25095098.33333333,144351.0,21831
CALEXICO,0.8,47.950086139874,86.6565771219574,44892409.0,14964136.333333336,41336.0,40121
CALIENTE,0.0,28.9865842832624,57.78786732248711,,,45096.0,1225
CALIFORNIA CITY,0.33333333333333304,22.2267951334265,43.51116155883471,30466382.0,10155460.666666666,42798.0,15982
CALIFORNIA HOT SPRINGS,1.0,43.6636636630582,81.0947156009585,,,33164.0,6161
CALIMESA,0.0,16.394662701404,28.7678143523773,13842628.0,4614209.333333333,64086.5,21063
CALIPATRIA,0.5,44.3510352216366,82.07844621011479,2848923.0,949641.0,35380.0,8245
CALISTOGA,0.0,10.9897781729756,15.3865556816749,36440152.0,12146717.333333336,85226.0,6684
CALPINE,0.0,19.9654826601361,38.20153865556821,,,52148.0,3040
CAMARILLO,0.0,14.929971655055098,24.9463992937319,118667215.0,39555738.333333336,105452.0,79627
CAMBRIA,0.0,3.42598351416407,1.32425274309497,,,74036.0,8388
CAMINO,0.0,10.9108246712798,14.982973893303098,,,90795.0,3495
CAMP PENDLETON,0.0,26.036660080790895,51.935931391096,,,49578.0,38754
CAMPBELL,0.0,13.654276887697,21.635767435994502,120771924.0,40257308.0,130811.5,44176
CAMPO,0.0,27.747527888218002,55.40421238491611,,,45288.0,7998
CANOGA PARK,0.25,32.6823961106571,64.308235590869,,,73319.5,86509
CANTUA CREEK,1.0,48.1788985782029,86.9214276705764,,,36968.0,6768
CANYON COUNTRY,0.0,23.849400713850898,47.28212889393371,,,85637.0,73789
CAPISTRANO BEACH,0.0,29.6253834202532,58.6328666918905,,,86960.0,5207
CAPITOLA,0.0,11.7538378250281,16.937823180729,41633696.0,13877898.666666664,76519.0,11739
CARDIFF BY THE SEA,0.0,8.58184024960449,9.90036574599571,,,119855.0,5686
CARLSBAD,0.0,8.936908579726651,10.7201412536259,422993824.0,140997941.33333334,111054.0,117678
CARMEL,0.0,1.93228901434379,0.340522133938706,,,99337.0,21923
CARMEL VALLEY,0.0,14.361367760209598,24.990541051835,,,73199.0,11768
CARMICHAEL,0.0,23.0437643678445,45.27683188296129,,,62193.0,58219
CARNELIAN BAY,0.0,1.71642145140719,0.17656703241266197,,,64792.0,1056
CARPINTERIA,0.0,21.0853788096845,41.026611174170796,30597609.0,10199203.0,72540.0,13619
CARSON,0.7777777777777779,46.6039863434772,84.84676503972759,208784719.0,69594906.33333333,79687.5,83730
CARUTHERS,1.0,47.897113250555805,86.6187413292975,,,45587.0,5068
CASSEL,0.0,18.005097690506197,33.1567663009207,,,50264.0,2774
CASTAIC,0.0,14.498582575928099,23.7545718249464,,,120072.5,30663
CASTRO VALLEY,0.0,12.2798828645537,18.3188296128138,,,123005.5,68146
CASTROVILLE,0.0,31.328699738923397,61.836297137091705,,,66063.0,15986
