county,budget,kWh,population,irr,revenue,dac,ces_score,ces_percentile,income,claims,programs,obf,resource,tot_pop,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na,number
ALAMEDA,8383463.777,13132657.58,1656754,0.270123418,9617053146,0.105555556,21.5329058,42.0986253,99406,24202,7,21.651553,100,9996562,3332187.33,4978718,1659572.67,0.49804303,1116730,372243.333,0.11171141,107148,35716,0.01071849,3166714,1055571.33,0.31678031,94588,31529.3333,0.00946205,1
ALPINE,0,0,1039,0.656044503,60490797,0,11.34335677,15.85319712,63750,0,0,0,0,6658,2219.33333,4634,1544.66667,0.69600481,18,6,0.00270351,1604,534.666667,0.24091319,120,40,0.01802343,2,0.66666667,0.00030039,2
AMADOR,548418.4297,630359.8329,38429,0.502563215,243032260,0,23.25754909,45.75608526,62772,129,2,0,100,235372,78457.3333,211306,70435.3333,0.89775334,6170,2056.66667,0.02621382,5458,1819.33333,0.02318882,3946,1315.33333,0.01676495,634,211.333333,0.00269361,3
BUTTE,1665997.939,1786076.096,225817,0.434554907,1290504922,0.039215686,20.03326123,38.36549376,52537,5011,5,16.66113214,100,1356442,452147.333,1166438,388812.667,0.85992471,24600,8200,0.01813568,33976,11325.3333,0.02504788,66290,22096.6667,0.0488705,3834,1278,0.00282651,4
CALAVERAS,43309.63034,57305.67863,45514,0.509595041,677652486,0,15.18085248,25.55177198,63158,18,2,3.253733657,100,274568,91522.6667,250466,83488.6667,0.91221847,2762,920.666667,0.01005944,5310,1770,0.01933947,4888,1629.33333,0.01780251,700,233.333333,0.00254946,5
COLUSA,115067.8422,195729.8449,21454,0.543578676,183757138,0,27.46890061,54.74839198,59401,11,2,18.89002453,100,129088,43029.3333,117816,39272,0.91267972,1664,554.666667,0.01289043,3522,1174,0.02728371,2020,673.333333,0.01564824,756,252,0.00585647,6
CONTRA COSTA,5802187.98,9487053.041,1142251,0.274897329,9994087813,0.120772947,17.21319803,30.86139488,99716,13946,3,31.13050598,100,6899160,2299720,4527538,1509179.33,0.65624482,656782,218927.333,0.09519739,69700,23233.3333,0.01010268,1235698,411899.333,0.17910847,40790,13596.6667,0.00591231,7
DEL NORTE,0,0,27495,0.530593072,225894688,0,16.84485079,29.97855972,45283,0,0,0,0,165806,55268.6667,129654,43218,0.78196205,5604,1868,0.03379854,16044,5348,0.09676369,5294,1764.66667,0.03192888,316,105.333333,0.00190584,8
EL DORADO,314253.9536,431429.2956,188563,0.452632459,1101313736,0,10.54622312,14.39021314,83377,100,2,2.215046264,100,1144536,381512,1017966,339322,0.8894137,11784,3928,0.01029588,15314,5104.66667,0.01338009,53148,17716,0.04643629,2572,857.333333,0.0022472,9
FRESNO,4611106.029,9599599.949,984521,0.407642153,5391143000,0.59798995,44.35557894,82.10367007,53969,13840,5,9.256733846,100,5952578,1984192.67,4568982,1522994,0.76756357,345452,115150.667,0.05803401,176594,58864.6667,0.02966681,656434,218811.333,0.11027726,16532,5510.66667,0.00277728,10
