county_name,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,total_lcff_entitlement,no_title1_status,number_of_schools,perc_title1_status,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,total_claims,total_programs,perc_obf_budget,perc_resource_budget
ALAMEDA,227174,83426,95299,0.36723392641763597,0.41949782985729,229206308,55,396,0.138888888888889,141267.60080000001,-93.93267000000004,1712309.8631999998,-1259.075064,75584.28260752937,38.0,4.0,14.588481006117393,100.0
ALPINE,70,41,43,0.5857142857142861,0.614285714285714,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMADOR,4166,1522,1664,0.365338454152664,0.39942390782525206,0,0,15,0.0,25881.36288,-48.04083,301099.421952,-521.086392,19733.38931063904,4.0,1.0,0.0,100.0
BUTTE,30037,15804,17698,0.526151080334254,0.589206645137664,36579973,15,87,0.172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALAVERAS,5315,2427,2641,0.45663217309501397,0.49689557855127,3627998,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLUSA,4720,2856,3577,0.6050847457627121,0.7578389830508471,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONTRA COSTA,178177,60301,70321,0.33843313109997397,0.39466934565067296,115617686,21,290,0.0724137931034483,262438.58295999997,-500.28008,3057977.7155,-5957.48136,58411.07702362419,11.0,3.0,92.27937261727988,100.0
DEL NORTE,4327,2654,2867,0.6133579847469379,0.662583776288422,5854210,1,15,0.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL DORADO,31134,8533,9617,0.27407336031348395,0.308890601914306,56643051,6,74,0.0810810810810811,10574.3742,-47.9006357,109335.4472,-461.4417712,2731.010370562761,8.0,1.0,0.0,100.0
FRESNO,207600,133032,154017,0.640809248554913,0.7418930635838149,144131468,17,347,0.0489913544668588,346043.1304293896,5968.212566899988,2118318.885790408,17902.243740400012,194390.09262455092,913.0,3.0,9.34892999532723,100.0
GLENN,6042,3492,4172,0.577954319761668,0.6904998344918901,7532287,2,27,0.0740740740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUMBOLDT,18040,9583,10508,0.5312084257206211,0.5824833702882479,23179716,11,90,0.12222222222222198,1413.3,-15.734000000000002,16959.600000000002,-188.80800000000002,2957.4623781592622,4.0,1.0,0.0,100.0
IMPERIAL,37375,25622,28891,0.6855384615384621,0.773003344481605,5936199,1,70,0.0142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INYO,4476,2817,3083,0.629356568364611,0.6887846291331551,16981582,3,25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KERN,198635,128937,144286,0.64911521131724,0.7263875953381831,185586124,10,268,0.0373134328358209,142286.913,-535.2635999999999,1885135.7850000004,-7994.6922,158830.8296508322,30.0,4.0,40.651490030731196,100.0
KINGS,29951,19206,21091,0.641247370705486,0.7041834997162031,24100997,4,66,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKE,9850,6412,7140,0.650964467005076,0.724873096446701,2440620,2,38,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LASSEN,3811,1607,1862,0.421674101285752,0.488585673051693,5079108,2,21,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOS ANGELES,1435803,882790,989638,0.614840615321183,0.6892575095608521,2282291455,310,2285,0.13566739606126899,6410629.050365013,3360.780467926167,76740164.2742207,108365.45379119695,3929626.720490021,2396.0,9.0,8.843705320346762,100.0
MADERA,32148,22817,25615,0.7097486624362321,0.796783625730994,24712417,7,79,0.0886075949367089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIN,33518,8533,9610,0.254579628856137,0.286711617638284,6957586,3,87,0.0344827586206897,42276.693121000004,2175.732,580130.6656,32775.084,27472.32371269278,5.0,3.0,0.0,100.0
MARIPOSA,1870,989,1211,0.5288770053475941,0.647593582887701,1205846,1,15,0.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENDOCINO,13217,8663,9849,0.655443746689869,0.7451766664144659,11184103,10,66,0.15151515151515196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERCED,59531,40567,45945,0.6814432816515771,0.771782768641548,5625458,0,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MODOC,1394,874,941,0.626972740315638,0.675035868005739,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONO,1933,950,1137,0.491464045525091,0.5882048629073979,2791106,0,13,0.0,8572.14336,-146.547456,102865.72032,-1758.569472,56166.42263260436,5.0,2.0,0.0,100.0
MONTEREY,77370,50608,56283,0.654103657748481,0.727452500969368,19781317,6,135,0.0444444444444444,521655.11058,1239.8128,3934324.5360930003,33197.489436,299173.9807041741,25.0,2.0,0.0,100.0
NAPA,20027,8116,9673,0.405252908573426,0.48299795276376895,8030172,1,44,0.0227272727272727,158.24,412.3578,1898.88,8258.6376,1252.07115651759,2.0,2.0,0.0,100.0
NEVADA,11524,5086,5773,0.44133981256508203,0.5009545296771961,41322577,4,42,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORANGE,473446,204355,231136,0.4316331746387129,0.48819928777516297,191566183,30,640,0.046875,3079804.8418312133,-1797.9449435208994,30325631.793493498,-5244.027829505017,1556537.7995831962,448.0,9.0,4.113843662216886,100.0
PLACER,75217,17831,21117,0.23706077083638002,0.28074770331175103,80424738,13,136,0.0955882352941176,365.30568,-3.2663076,5844.89088,-52.2609216,1173.56944006952,1.0,1.0,0.0,100.0
PLUMAS,2219,978,1263,0.440739071653898,0.5691753041910771,3051575,1,14,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIVERSIDE,431395,239719,280868,0.555683306482458,0.651069205716339,277599853,21,515,0.0407766990291262,1702072.959355555,-1016.8187090990004,18638228.770511866,-25682.192241383003,1570852.0610581937,2543.0,7.0,0.0,100.0
SACRAMENTO,249411,129576,149979,0.519528007986817,0.601332739935288,346099807,33,391,0.0843989769820972,0.0,4697.9,0.0,26989.5,8225.00249792238,2.0,2.0,0.0,100.0
SAN BENITO,11546,5773,6493,0.5,0.562359258617703,4975648,1,29,0.0344827586206897,42790.131,-60.219,417652.3224,-626.2776,23697.01455572314,2.0,1.0,0.0,100.0
SAN BERNARDINO,406970,257668,291418,0.633137577708431,0.7160675234046741,355644800,44,582,0.0756013745704467,2543557.414467383,-9906.792964602997,26017435.43057813,-98279.66563522798,1906234.5222131792,229.0,7.0,3.037484215783892,100.0
SAN DIEGO,502471,207826,251689,0.413607949513504,0.500902539649054,773446194,119,791,0.15044247787610598,4316482.437929651,-33658.84943318986,25799722.212245263,-171320.28949915018,1117069.9685977928,648.0,5.0,0.0,100.0
SAN FRANCISCO,61729,25368,29787,0.41095757261578797,0.482544671062224,77682534,15,130,0.115384615384615,40527.441,3432.253399999999,496551.85855999996,56907.79645,79443.0833004613,19.0,3.0,0.0,100.0
SAN JOAQUIN,152358,83446,94388,0.5476968718413211,0.61951456438126,217082828,27,245,0.11020408163265301,32780.0,0.0,393360.0,0.0,8766.193714779289,4.0,1.0,0.0,100.0
SAN LUIS OBISPO,34391,13132,15060,0.38184408711581497,0.43790526591259293,6637469,2,86,0.0232558139534884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN MATEO,93408,26485,30627,0.283541024323398,0.32788412127440897,73213240,13,190,0.06842105263157901,191159.42,2245.6624,878627.1,4021.2223999999997,65157.522634157474,16.0,3.0,0.0,100.0
SANTA BARBARA,69006,37361,42828,0.541416688403907,0.620641683331884,41392176,13,126,0.103174603174603,19267.858384,228.358427208,209049.37469839997,3922.9843026790004,16313.161414695605,10.0,4.0,0.0,100.0
SANTA CLARA,263219,76461,91932,0.290484349534038,0.34926050171150297,299584102,45,438,0.10273972602739699,148914.50284699985,1700.9476000000002,1511537.8096689999,26069.86269,115106.26485641109,52.0,5.0,0.0,100.0
SANTA CRUZ,40545,19804,21537,0.48844493772351705,0.53118756936737,62412355,5,86,0.0581395348837209,26505.762034000003,1645.9041292,197919.204474,7746.598147199999,15932.225905209736,11.0,1.0,100.0,100.0
SHASTA,27097,13306,14898,0.49105066981584705,0.549802561169133,41910191,13,102,0.127450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIERRA,432,185,199,0.42824074074074103,0.460648148148148,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SISKIYOU,6066,3499,3972,0.576821628750412,0.654797230464886,6743387,2,43,0.0465116279069768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLANO,62980,26344,31404,0.418291521117815,0.498634487138774,46718215,7,110,0.0636363636363636,109050.7476,-509.106864,1410223.8616,-8145.709824,58765.52935877921,16.0,2.0,0.0,100.0
SONOMA,68198,25416,30753,0.37267955071996206,0.45093697762397705,163918885,19,208,0.0913461538461538,22083.5684,-162.0516,315731.9963999999,-2374.7760000000003,12346.99024129781,11.0,2.0,0.0,100.0
STANISLAUS,110372,65779,74195,0.595975428550719,0.672226651687022,89254817,11,203,0.0541871921182266,0.0,0.0,0.0,0.0,1742.39,12.0,1.0,0.0,100.0
SUTTER,23308,12942,14897,0.555259996567702,0.63913677707225,53768190,8,46,0.17391304347826098,8252.878,-48.35888,110899.554,-580.30656,13085.881072770362,7.0,2.0,0.0,100.0
TEHAMA,11107,6997,8026,0.629963086341947,0.7226073647249479,4041014,1,45,0.0222222222222222,69295.0,-778.0490000000001,1050203.98,-11792.158,47175.449332806624,10.0,2.0,0.0,100.0
TRINITY,1579,901,1070,0.5706143128562379,0.677644078530716,650651,1,18,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TULARE,105028,72879,80332,0.693900674105953,0.764862703279126,89491857,7,192,0.0364583333333333,233476.28464,-168.265109266,1114106.6852000002,-104.22555563000003,77860.76868862429,9.0,5.0,0.0,100.0
TUOLUMNE,6042,2584,2900,0.427672955974843,0.47997351870241606,6428602,1,25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VENTURA,135291,58826,70930,0.43481088912048793,0.524277298563836,69723950,12,218,0.055045871559632996,1371597.3614389407,-1727.4180522483593,12941694.111016843,-14210.74829150915,891071.1464775365,332.0,8.0,2.5093499504002947,100.0
YOLO,30533,13195,14982,0.43215537287524997,0.490682212687911,24241319,4,66,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YUBA,14746,9030,10096,0.612369456123695,0.6846602468466021,14878844,3,44,0.0681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
