county_name,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,total_lcff_entitlement,no_title1_status,number_of_schools,perc_title1_status,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,total_claims,total_programs,perc_obf_budget,perc_resource_budget,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,IRR
ALAMEDA,227174,83426,95299,0.3672339264,0.4194978299,229206308,55,396,0.1388888889,141267.6008,-93.93267,1712309.863,-1259.075064,75584.28261,38,4,14.58848101,100,0.1055555556,21.5329058,42.0986253,99406,0.270123418
ALPINE,70,41,43,0.5857142857,0.6142857143,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11.34335677,15.85319712,63750,0.656044503
AMADOR,4166,1522,1664,0.3653384542,0.3994239078,0,0,15,0,25881.36288,-48.04083,301099.422,-521.086392,19733.38931,4,1,0,100,0,23.25754909,45.75608526,62772,0.502563215
BUTTE,30037,15804,17698,0.5261510803,0.5892066451,36579973,15,87,0.1724137931,0,0,0,0,0,0,0,0,0,0.03921568627,20.03326123,38.36549376,52537,0.434554907
CALAVERAS,5315,2427,2641,0.4566321731,0.4968955786,3627998,0,27,0,0,0,0,0,0,0,0,0,0,0,15.18085248,25.55177198,63158,0.509595041
COLUSA,4720,2856,3577,0.6050847458,0.7578389831,0,0,21,0,0,0,0,0,0,0,0,0,0,0,27.46890061,54.74839198,59401,0.543578676
CONTRA COSTA,178177,60301,70321,0.3384331311,0.3946693457,115617686,21,290,0.0724137931,262438.583,-500.28008,3057977.716,-5957.48136,58411.07702,11,3,92.27937262,100,0.1207729469,17.21319803,30.86139488,99716,0.274897329
DEL NORTE,4327,2654,2867,0.6133579847,0.6625837763,5854210,1,15,0.06666666667,0,0,0,0,0,0,0,0,0,0,16.84485079,29.97855972,45283,0.530593072
EL DORADO,31134,8533,9617,0.2740733603,0.3088906019,56643051,6,74,0.08108108108,10574.3742,-47.9006357,109335.4472,-461.4417712,2731.010371,8,1,0,100,0,10.54622312,14.39021314,83377,0.452632459
FRESNO,207600,133032,154017,0.6408092486,0.7418930636,144131468,17,347,0.04899135447,346043.1304,5968.212567,2118318.886,17902.24374,194390.0926,913,3,9.348929995,100,0.5979899497,44.35557894,82.10367007,53969,0.407642153
GLENN,6042,3492,4172,0.5779543198,0.6904998345,7532287,2,27,0.07407407407,0,0,0,0,0,0,0,0,0,0,23.67125796,46.77765166,49633,0.534306275
HUMBOLDT,18040,9583,10508,0.5312084257,0.5824833703,23179716,11,90,0.1222222222,1413.3,-15.734,16959.6,-188.808,2957.462378,4,1,0,100,0,15.2839121,25.79770463,48041,0.508712228
IMPERIAL,37375,25622,28891,0.6855384615,0.7730033445,5936199,1,70,0.01428571429,0,0,0,0,0,0,0,0,0,0.4838709677,39.58382186,75.38781687,47622,0.483676103
INYO,4476,2817,3083,0.6293565684,0.6887846291,16981582,3,25,0.12,0,0,0,0,0,0,0,0,0,0,18.79896764,35.24404086,57316,0.614476007
KERN,198635,128937,144286,0.6491152113,0.7263875953,185586124,10,268,0.03731343284,142286.913,-535.2636,1885135.785,-7994.6922,158830.8297,30,4,40.65149003,100,0.4503311258,36.35772393,70.53852945,53350,0.421116981
KINGS,29951,19206,21091,0.6412473707,0.7041834997,24100997,4,66,0.06060606061,0,0,0,0,0,0,0,0,0,0.4074074074,38.95330355,74.34733258,57848,0.459568005
LAKE,9850,6412,7140,0.650964467,0.7248730964,2440620,2,38,0.05263157895,0,0,0,0,0,0,0,0,0,0,17.5990331,31.99646866,47040,0.501903671
LASSEN,3811,1607,1862,0.4216741013,0.4885856731,5079108,2,21,0.09523809524,0,0,0,0,0,0,0,0,0,0,15.8205256,27.35527809,56352,0.562445155
LOS ANGELES,1435803,882790,989638,0.6148406153,0.6892575096,2282291455,310,2285,0.1356673961,6410629.05,3360.780468,76740164.27,108365.4538,3929626.72,2396,9,8.84370532,100,0.443021767,36.39758777,70.620507,68044,0.226484593
MADERA,32148,22817,25615,0.7097486624,0.7967836257,24712417,7,79,0.08860759494,0,0,0,0,0,0,0,0,0,0.4782608696,39.17836861,74.7256905,57585,0.469575207
MARIN,33518,8533,9610,0.2545796289,0.2867116176,6957586,3,87,0.03448275862,42276.69312,2175.732,580130.6656,32775.084,27472.32371,5,3,0,100,0,6.800021201,6.223987893,115246,0.376551385
MARIPOSA,1870,989,1211,0.5288770053,0.6475935829,1205846,1,15,0.06666666667,0,0,0,0,0,0,0,0,0,0,15.1202458,25.37520494,48820,0.556874694
MENDOCINO,13217,8663,9849,0.6554437467,0.7451766664,11184103,10,66,0.1515151515,0,0,0,0,0,0,0,0,0,0,16.9170484,30.14882078,51416,0.515868582
MERCED,59531,40567,45945,0.6814432817,0.7717827686,5625458,0,106,0,0,0,0,0,0,0,0,0,0,0.7551020408,44.4721416,82.21717745,53672,0.43870777
MODOC,1394,874,941,0.6269727403,0.675035868,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16.52539825,29.25337369,45507,0.60969562
MONO,1933,950,1137,0.4914640455,0.5882048629,2791106,0,13,0,8572.14336,-146.547456,102865.7203,-1758.569472,56166.42263,5,2,0,100,0,13.79902457,21.95737167,62260,0.599739529
MONTEREY,77370,50608,56283,0.6541036577,0.727452501,19781317,6,135,0.04444444444,521655.1106,1239.8128,3934324.536,33197.48944,299173.9807,25,2,0,100,0.04301075269,22.94952193,45.08134695,71015,0.426751382
NAPA,20027,8116,9673,0.4052529086,0.4829979528,8030172,1,44,0.02272727273,158.24,412.3578,1898.88,8258.6376,1252.071157,2,2,0,100,0,14.90709121,24.89595157,88596,0.439768059
NEVADA,11524,5086,5773,0.4413398126,0.5009545297,41322577,4,42,0.09523809524,0,0,0,0,0,0,0,0,0,0,12.93097238,19.98360449,66096,0.462420172
ORANGE,473446,204355,231136,0.4316331746,0.4881992878,191566183,30,640,0.046875,3079804.842,-1797.944944,30325631.79,-5244.02783,1556537.8,448,9,4.113843662,100,0.1219931271,21.11432815,41.0770589,90234,0.167891882
PLACER,75217,17831,21117,0.2370607708,0.2807477033,80424738,13,136,0.09558823529,365.30568,-3.2663076,5844.89088,-52.2609216,1173.56944,1,1,0,100,0,8.681462014,10.19044016,89691,0.419322816
PLUMAS,2219,978,1263,0.4407390717,0.5691753042,3051575,1,14,0.07142857143,0,0,0,0,0,0,0,0,0,0,15.06034749,25.24908564,55359,0.564573053
RIVERSIDE,431395,239719,280868,0.5556833065,0.6510692057,277599853,21,515,0.04077669903,1702072.959,-1016.818709,18638228.77,-25682.19224,1570852.061,2543,7,0,100,0.2229580574,27.8028861,55.51771976,67005,0.367669403
SACRAMENTO,249411,129576,149979,0.519528008,0.6013327399,346099807,33,391,0.08439897698,0,4697.9,0,26989.5,8225.002498,2,2,0,100,0.1388012618,24.41737186,48.71988902,67151,0.287298945
SAN BENITO,11546,5773,6493,0.5,0.5623592586,4975648,1,29,0.03448275862,42790.131,-60.219,417652.3224,-626.2776,23697.01456,2,1,0,100,0,31.28856605,61.74801362,86958,0.504367412
SAN BERNARDINO,406970,257668,291418,0.6331375777,0.7160675234,355644800,44,582,0.07560137457,2543557.414,-9906.792965,26017435.43,-98279.66564,1906234.522,229,7,3.037484216,100,0.4254742547,36.47243713,70.75293227,63362,0.398318883
