SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median,Total.Tax.Revenue
ACAMPO,48664.72674,-148.89033,583976.7209,-1786.68396,17684.56851,6,1,0,100,0,21.5314631,40.28250725,,83913,9814,2,2,-123910664.4
ADELANTO,13576.84423,-30.037266,67884.22116,-150.18633,27320.06323,4,1,0,100,0.5,35.90879867,68.45125489,23628867,45695.5,35179,1,1,23628867
ALAMO,73049.3926,118.64524,684999.9763,-1279.097025,48785.54268,15,1,88.04489588,100,0,2.175087916,0.416193719,,219750,9373,1,1,-126124702.5
ALBANY,153765.922,-785.0763344,842200.6074,-4288.07028,60926.19353,35,2,0,100,0,8.128605852,8.740068104,57342690,102361,16742,1,1,57342690
ALHAMBRA,21630.94939,-32.17246242,120233.3502,-178.879938,48465.4476,7,1,0,100,0.15,33.70215145,66.14327153,154981924,59206,84647,1,1,154981924
ALTA,185,0,2220,0,12.83993167,1,1,0,100,0,11.76962086,16.93782318,,75563,2932,2,2,-158461707.8
ALTADENA,21139.6,0,253675.2,0,14367.50389,15,1,0,100,0,17.00764988,30.36952957,,101875,37326,1,1,14213181.32
AMERICAN CANYON,246321.569,-390.57183,2569735.067,-3193.530636,113629.6157,737,2,0,100,0,14.58399855,24.01311641,68336979,104042,13352,1,1,68336979
ANAHEIM,2843.648112,-1.635315291,14302.66896,-8.226646164,4105.068431,3,1,0,100,0.366666667,34.96311183,68.35666541,1004225482,66446,347532,1,1,1004225482
ANDERSON,153146.064,-137.8650024,1627538.672,-1050.015402,162295.5725,18,2,14.33681224,100,0,19.65311269,37.42590491,22567917,47839,23258,2,2,22567917
ANGELS CAMP,34384.04703,-285.90726,367388.015,-3469.583328,18687.83465,8,2,0,100,0,16.31131717,28.56602346,,54840,4483,7,7,-150674920.8
ANGWIN,12649.272,-112.63211,123444.9288,-1114.692042,5444.59785,3,1,0,100,0,11.21272461,15.52528692,,96705,5288,10,10,-146633422.7
ANTIOCH,1090279.854,-1526.2517,12105645.5,-16843.51069,755185.7001,401,2,75.68995326,100,0.055555556,27.35417338,54.35742212,156004836,76397,112354,1,1,156004836
APPLE VALLEY,212224.59,-220.077,2514589.718,-2640.924,206693.35,20,1,100,100,0,19.92653162,38.11325514,81839215,52921,80949,2,2,81839215
APTOS,344026.491,-3084.893,2726986.261,-24017.0951,193663.2652,40,2,22.02401216,100,0,5.820021716,4.300668432,,102500,31518,1,1,-14945850.96
ARBUCKLE,47268.9,0,224039.088,0,45369.20434,2,1,0,100,0,27.46890061,54.74839198,,65238,5647,7,7,-144831065.2
ARCADIA,72342.81,0,868113.72,0,40843.1973,2,1,0,100,0,17.10420385,30.69113381,152549526,92807,69373,1,1,152549526
ARCATA,582409.9204,-1503.710973,5108532.13,-13099.61364,587876.0012,451,2,2.829558836,100,0,24.23644209,48.22802371,34193557,39178,14499,4,4,34193557
ARNOLD,1858.72,-12.78234,16991.488,-119.529936,1547.710454,4,1,0,100,0,10.51765879,14.38390718,,64291,4664,10,10,-149766211.3
ARROYO GRANDE,282692.1175,-1218.986047,3238651.525,-15423.24537,141893.2079,94,2,0,100,0,6.814271451,6.179846134,43882463,89204.5,25014,2,2,43882463
ARVIN,235985.1414,-1118.21893,2525115.524,-12564.76151,99105.11402,69,1,29.56813825,100,0.5,40.31055291,76.37785345,15759971,37428,22818,4,4,15759971
ATASCADERO,487560.5488,-2199.857894,5412426.592,-26667.46822,254199.3287,328,2,2.286541693,100,0,8.137025663,9.250851305,60949355,73061,25335,1,1,60949355
ATHERTON,1010,0,12120,0,721.4905149,4,1,0,100,0,5.5779183,5.221339387,46121910,,7168,1,1,
ATWATER,388888.9852,-143.429041,4587367.544,-1095.301805,519211.6338,1443,3,85.56285841,100,0.5,40.48984172,76.57333838,35304215,55891,40011,1,1,35304215
AUBURN,215833.1616,-1196.42842,2183727.162,-12870.44229,222860.3327,152,3,9.113390282,100,0,13.28418307,20.82860386,34441547,76104.5,44187,3,3,34441547
BAKERSFIELD,15559277.6,-50313.14374,159663794.8,-530348.287,6153282.742,18643,2,7.219449909,100,0.494505495,38.59974028,73.91852693,547373792,53187,557492,1,1,547373792
BALDWIN PARK,681793.8559,-23.22887188,8072173.98,-116.1443594,422768.9226,10,1,4.412623841,100,0.941176471,53.14905383,91.66351368,87887248,66316,75905,1,1,87887248
