county_fips,county,TotalFirstYearGrosskW,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalGrossIncentive,TotalGrossMeasureCost,TotalGrossMeasureCost_ER,TotalLifecycleGrosskW,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm
1,Alameda County,1523.233213,12905903.39,-55316.61485,3064973.917,11868816.08,506782.19,14655.34826,136426136.6,-577760.4744
5,Amador County,48.72676672,630359.8329,-4445.044561,111048.0699,1434105.11,5995.73,546.1183697,6969586.501,-47535.94127
7,Butte County,38.61104488,872510.13,-1126.159303,145984.3505,846437.87,76650.04,344.2802214,9598440.714,-10524.23437
9,Calaveras County,12.1280998,55446.95863,-395.09832,16419.89995,22124.63,6614.7,138.370596,600834.8185,-4670.7288
11,Colusa County,18.54985305,150363.0949,-498.771807,26848.96991,76808.68,45531.12,203.2350967,1745071.365,-5700.958545
13,Contra Costa County,1084.062546,9723710.966,-33593.89253,2081127.24,7158809.13,777626.95,10047.60403,94603718.07,-363493.3952
17,El Dorado County,94.2946104,503897.5787,-2100.182058,102124.8798,162700.76,32252.29,1028.077263,5660938.763,-22754.72235
19,Fresno County,556.637963,9116116.551,-13132.29678,1765812.589,6752473.29,1140952.26,5698.453076,94749709.19,-146306.8132
21,Glenn County,3.744001354,21903.579,-109.89,4174.219973,18739.22,2219.85,27.75960677,210352.9446,-1016.6904
23,Humboldt County,820.8655914,3656573.445,-28155.32028,1302125.81,2935758.66,177150.45,6823.749575,32297628.29,-181011.1569
27,Inyo County,0,0,0,176.58,1863.7,0,0,0,0
29,Kern County,2486.259604,18216087.48,-63439.95233,3320356.238,4237082.18,1728651.03,24603.22274,185662949.9,-654796.4436
31,Kings County,73.11547503,294431.1143,-772.5895285,290789.3499,421391.41,1717.69,383.8106845,2144586.367,-4316.295701
33,Lake County,168.7374818,1308698.716,-6993.851403,325982.7793,555818.74,385715.44,1616.8647,14011939.02,-72188.84919
37,Los Angeles County,1517.10377,30121765.37,17520.19743,15821111.87,35108365.44,0,10387.03782,312180153.8,83058.27384
39,Madera County,112.930055,1279256.914,-3492.777125,252489.1103,655330.74,76916.42,999.2223922,12913026.94,-35984.4679
41,Marin County,425.7134875,3239064.17,-19589.41647,809059.0193,2838896.41,662625.55,4063.969835,31648367.33,-176064.6558
43,Mariposa County,3.375727888,13174.93512,-37.07702785,41880.18982,13763.35,528.36,16.87863944,93667.7556,-185.3851392
45,Mendocino County,134.2523761,697710.4987,-5480.660495,186121.53,272662.47,108159.35,1154.261447,7181412.491,-57312.7408
47,Merced County,114.6601454,2673439.081,-4457.961549,379082.2024,1637392.63,222800.53,1249.123592,31033338.11,-53694.23376
51,Mono County,32.41706825,149669.5313,-884.1450404,46036.64,551352.78,0,346.4827492,1666676.328,-9792.783602
53,Monterey County,1319.864612,10995986.44,-51668.90768,2146898.451,11443311.77,7742589.77,10026.13935,95611386.23,-411641.487
55,Napa County,206.440228,1539348.958,-4972.30546,270450.4506,820611.85,279686.05,1913.177663,15962110.66,-46395.0497
57,Nevada County,101.7847169,848714.7081,-2546.0139,190955.1394,560841.45,86873.34,1009.341405,9393512.186,-25421.48145
59,Orange County,506.7354865,9750051.688,-1969.080464,3734152.39,10812543.6,0,4351.253303,103653471.2,-5352.736909
61,Placer County,73.50671383,1240824.812,-2807.020696,236842.6108,1398209.11,38976.57,716.8876192,14043366.6,-29024.18087
63,Plumas County,11.93942854,40911.14603,-405.3387698,11143.36,12806.14,3010.05,133.1756289,462245.8601,-4602.579329
65,Riverside County,200.4048547,6505413.912,-435.1537719,2663537.12,6459896.1,0,1250.293354,74762692.75,-2776.27592
67,Sacramento County,0,46428,0,6209.16,76269.5,0,0,557136,0
69,San Benito County,34.43765,157527.674,-821.07,37317.6498,228735.99,172006.11,198.764757,1164265.801,-4880.61657
71,San Bernardino County,229.3493194,1627295.191,-1157.149328,635035.38,2022348.76,0,1490.16814,13316131.15,-10721.64158
73,San Diego County,0,185,0,10,296,0,0,2220,0
75,San Francisco County,3170.20227,14221112.94,-51969.62156,3528301.044,11436788.23,532235.13,26598.36726,132677932.6,-526802.769
77,San Joaquin County,620.1243232,9078613.469,-21287.19966,1731611.439,5457505.52,1034908.29,6298.147112,94128744.21,-227641.0441
79,San Luis Obispo County,765.8048356,4937353.006,-21771.69775,822099.0185,2116165.67,439057.94,266208.6115,51282543.22,-236912.372
81,San Mateo County,945.0193605,7849664.435,-23707.42044,1651938.73,6440168.52,3633748.56,7406.819569,69815232.09,-207950.1735
83,Santa Barbara County,428.9959939,3012185.938,-5521.498785,1279685.422,5607774.42,146399.79,3682.385701,29878158.08,-52523.41858
85,Santa Clara County,3331.0783,21756552.37,-56528.93087,4567621.739,14241538.25,6128402.63,-48576.81277,190847523.6,-461431.2856
87,Santa Cruz County,883.2076931,4567022.767,-1515.3228,994566.34,5214769.47,3310955.17,6185.44262,34943993.2,-49716.43113
89,Shasta County,18.18801708,241221.418,-534.3597622,43024.02991,171019.82,23725.97,154.0682974,2537109.691,-4811.031701
91,Sierra County,0.00502,18.5,-0.106,884.8200038,0,0,0.044176,162.8,-0.9328
93,Siskiyou County,0.3843,1880.0811,-31.1382,380.5199961,380.52,0,3.99672,19552.84344,-323.83728
95,Solano County,1368.661954,11445215.71,-40902.29334,2171954.384,5640663.54,2799330.38,12557.18597,114974110.9,-390549.1647
97,Sonoma County,1449.117983,10492207.34,-41093.07373,2279223.44,4605907.49,2715745.01,14836.1575,115562480.4,-426492.9734
99,Stanislaus County,10.78811,312595.057,-616.229,42542.33015,237317.01,3809.29,143.60728,3875231.121,-8234.3856
101,Sutter County,51.81011046,1013862.598,-1788.167781,141118.0294,564506.38,144135.78,589.7845179,10903860.68,-21804.81756
103,Tehama County,90.12312203,1493066.911,-2243.211266,271686.5899,718012.21,299746.26,1013.787197,17728422.5,-26291.84958
107,Tulare County,1556.128304,13042359.16,-547.6152259,1228265.48,3368154.964,0,22698.11198,193322459.2,-3602.706022
109,Tuolumne County,29.09548346,294230.08,-1154.552442,78176.04944,78893.74,485.33,286.1532766,3282903.883,-11533.19289
111,Ventura County,567.9228624,2445871.417,73527.90587,1047050.2,1287196.88,0,6998.54737,30405464.72,1181190.291
113,Yolo County,112.0182818,1379490.236,-2227.328809,218143.0204,758447.74,153282.88,1189.162015,15114906.34,-24471.12883
115,Yuba County,6.006051,143918.059,-265.9833,16767.40995,139443.71,685.05,79.817616,1664840.014,-3896.028
