Census Tract,County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude
6019001100,Fresno ,93706,Fresno,-119.7816961,36.7096952
6071001600,San Bernardino,91761,Ontario,-117.6180131,34.0577805
6019000200,Fresno ,93706,Fresno,-119.8055044,36.7354914
6077000801,San Joaquin,95203,Stockton,-121.3145235,37.9405169
6019001500,Fresno ,93725,Fresno,-119.7178427,36.6816
6037204920,Los Angeles,90023,Los Angeles,-118.1974975,34.0175004
6077000300,San Joaquin,95203,Stockton,-121.3020724,37.952421
6019001000,Fresno ,93706,Fresno,-119.804314,36.6977507
6037206050,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036
6019000400,Fresno ,93721,Fresno,-119.7762091,36.7276563
6099002100,Stanislaus ,95354,Modesto,-120.9667385,37.6287607
6029002500,Kern ,93307,Bakersfield,-118.9920281,35.3372541
6019000600,Fresno ,93721,Fresno,-119.7933565,36.743063
6019001201,Fresno ,93725,Fresno,-119.7577716,36.7107523
6037205120,Los Angeles,90023,Los Angeles,-118.2117956,34.0187546
6019000902,Fresno ,93706,Fresno,-119.8042772,36.717769
6037291220,Los Angeles,90247,Gardena,-118.286709,33.8771395
6019001202,Fresno ,93725,Fresno,-119.7410277,36.7026849
6019000800,Fresno ,93706,Fresno,-119.831179,36.7067181
6019000300,Fresno ,93706,Fresno,-119.8010347,36.726462
6037239202,Los Angeles,90001,Los Angeles,-118.2649765,33.9856783
6037226002,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196
6077000700,San Joaquin,95206,Stockton,-121.2878729,37.9431727
6019000901,Fresno ,93706,Fresno,-119.804301,36.7104697
6077000100,San Joaquin,95202,Stockton,-121.2853628,37.953996
6099002302,Stanislaus ,95351,Modesto,-120.982756,37.6209695
6071004900,San Bernardino,92410,San Bernardino,-117.3168792,34.100314
6037535400,Los Angeles,90002,Los Angeles,-118.2314205,33.947117
6019000700,Fresno ,93706,Fresno,-119.8277069,36.7345353
6065030300,Riverside ,92501,Riverside,-117.3763853,33.9798271
6019007100,Fresno ,93662,Selma,-119.6279131,36.5629769
6037243100,Los Angeles,90059,Los Angeles,-118.2350934,33.9327963
6037543305,Los Angeles,90220,Compton,-118.2238692,33.8611473
6071005701,San Bernardino,92401,San Bernardino,-117.2926063,34.1006404
6037204600,Los Angeles,90023,Los Angeles,-118.2158297,34.0366414
6037227010,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256
6099002301,Stanislaus ,95351,Modesto,-121.0188436,37.6049206
6019000100,Fresno ,93721,Fresno,-119.7927732,36.7369244
6077001900,San Joaquin,95205,Stockton,-121.2605554,37.9516762
6037206032,Los Angeles,90033,Los Angeles,-118.2246242,34.046259
6037226001,Los Angeles,90021,Los Angeles,-118.2502739,34.0244835
6037239501,Los Angeles,90001,Los Angeles,-118.2628927,33.9729857
6019002000,Fresno ,93728,Fresno,-119.8328803,36.7572824
6077005119,San Joaquin,95330,Lathrop,-121.3027448,37.8446844
6037203100,Los Angeles,90033,Los Angeles,-118.1964766,34.059079
6037530700,Los Angeles,90063,Los Angeles,-118.183979,34.0592143
6073005000,San Diego,92113,San Diego,-117.1411746,32.6948502
6037301601,Los Angeles,91201,Glendale,-118.2865467,34.1623874
6037185320,Los Angeles,90065,Los Angeles,-118.2242419,34.0887194
6037543202,Los Angeles,90220,Compton,-118.230032,33.8798617
6065030502,Riverside ,92507,Riverside,-117.3560514,33.9857419
6071012500,San Bernardino,92324,Colton,-117.3233041,34.0602092
6037531302,Los Angeles,90023,Los Angeles,-118.1827241,34.0169019
6019001301,Fresno ,93702,Fresno,-119.7499923,36.732259
6019002502,Fresno ,93702,Fresno,-119.7634654,36.7540827
6037402801,Los Angeles,91766,Pomona,-117.7349296,34.0542821
6019001304,Fresno ,93702,Fresno,-119.7455349,36.7250147
6077002201,San Joaquin,95206,Stockton,-121.2686436,37.9313083
6037532304,Los Angeles,90040,Los Angeles,-118.1526793,33.9862905
6019001303,Fresno ,93702,Fresno,-119.7591482,36.7250069
6029002200,Kern ,93307,Bakersfield,-118.9879161,35.3613217
6037205110,Los Angeles,90023,Los Angeles,-118.2142985,34.0245059
6037570502,Los Angeles,90805,Long Beach,-118.1668021,33.8674703
6037291210,Los Angeles,90247,Gardena,-118.2870814,33.8886904
6037219901,Los Angeles,90016,Los Angeles,-118.3605226,34.0297377
6037534202,Los Angeles,90201,Bell,-118.1611103,33.959603
6037540400,Los Angeles,90059,Los Angeles,-118.2282398,33.9326754
6065046700,Riverside ,92518,March Air Reserve Base,-117.278368,33.8891026
6029002301,Kern ,93307,Bakersfield,-118.9452577,35.3590376
6071002501,San Bernardino,92335,Fontana,-117.4772152,34.0743336
6019008502,Fresno ,93648,Parlier,-119.5507133,36.6214407
6019000502,Fresno ,93701,Fresno,-119.781537,36.7444057
6037242100,Los Angeles,90002,Los Angeles,-118.2336329,33.945396
6037203500,Los Angeles,90033,Los Angeles,-118.2185819,34.057226
6037302401,Los Angeles,91204,Glendale,-118.2597456,34.1316179
6067005301,Sacramento ,95811,Sacramento,-121.4825199,38.5916037
6037204820,Los Angeles,90023,Los Angeles,-118.2058412,34.0238161
6037532302,Los Angeles,90023,Los Angeles,-118.1751711,34.0096885
6073004900,San Diego,92113,San Diego,-117.138677,32.7018526
6037229420,Los Angeles,90011,Los Angeles,-118.2608177,33.9925311
6037541001,Los Angeles,90248,Gardena,-118.2749503,33.8934521
6099002200,Stanislaus ,95351,Modesto,-121.0038051,37.6223838
6037534302,Los Angeles,90201,Bell,-118.1755664,33.9593595
6073003902,San Diego,92113,San Diego,-117.1263197,32.696749
6037239701,Los Angeles,90003,Los Angeles,-118.2752632,33.966092
6077002300,San Joaquin,95206,Stockton,-121.278407,37.9292396
6037570301,Los Angeles,90805,Long Beach,-118.1922187,33.8676075
6071012400,San Bernardino,92408,San Bernardino,-117.2948174,34.0741251
6037128302,Los Angeles,91411,Van Nuys,-118.4605367,34.1838638
6037242700,Los Angeles,90059,Los Angeles,-118.2426486,33.9363535
6065031300,Riverside ,92504,Riverside,-117.4058257,33.9303688
6071007000,San Bernardino,92324,Colton,-117.3134436,34.0744598
6037533001,Los Angeles,90001,Los Angeles,-118.24555,33.9802221
6037121222,Los Angeles,91352,Sun Valley,-118.3919494,34.2321411
6037532800,Los Angeles,90001,Los Angeles,-118.2520926,33.9864059
6037239601,Los Angeles,90003,Los Angeles,-118.2752977,33.9728371
6037575401,Los Angeles,90813,Long Beach,-118.200174,33.7863532
6077002401,San Joaquin,95206,Stockton,-121.2897337,37.9290303
6037534201,Los Angeles,90201,Bell,-118.1672627,33.9580353
6037122410,Los Angeles,91605,North Hollywood,-118.3919739,34.2044832
6037239702,Los Angeles,90003,Los Angeles,-118.2750006,33.962202
6037572800,Los Angeles,90810,Long Beach,-118.2212087,33.7952959
6073003601,San Diego,92113,San Diego,-117.1165151,32.6909862
6037228100,Los Angeles,90011,Los Angeles,-118.2439607,34.009617
6037292000,Los Angeles,90501,Torrance,-118.3021541,33.8484731
6037434001,Los Angeles,91732,El Monte,-118.0141173,34.0520775
6037122122,Los Angeles,91352,Sun Valley,-118.3736105,34.2197648
6099001500,Stanislaus ,95358,Modesto,-121.0374635,37.6349769
6037242600,Los Angeles,90059,Los Angeles,-118.2502423,33.932376
6077000900,San Joaquin,95203,Stockton,-121.3278662,37.9577717
6037228900,Los Angeles,90058,Los Angeles,-118.2430143,33.9920544
6037433302,Los Angeles,91732,El Monte,-118.0143495,34.0629878
6099001400,Stanislaus ,95350,Modesto,-121.0204403,37.6627736
6099002402,Stanislaus ,95358,Modesto,-121.0092162,37.6010166
6071005600,San Bernardino,92410,San Bernardino,-117.2922119,34.1173182
6019003001,Fresno ,93727,Fresno,-119.7092464,36.7577958
6037402304,Los Angeles,91768,Pomona,-117.7658059,34.0617068
6037122420,Los Angeles,91605,North Hollywood,-118.3832842,34.20361
6037536103,Los Angeles,90280,South Gate,-118.1850472,33.9427497
